"","V1","V2","V3"
"2066",33,724,7
"2069",33,752,5
"2070",33,754,6
"2071",33,765,6
"2074",33,781,7
"2077",33,794,5
"2079",33,809,5
"2080",33,813,4
"2081",33,824,7
"2082",33,844,7
"2083",33,862,7
"2085",33,881,4
"2087",33,911,5
"2091",33,985,5
"2093",33,1028,4
"2094",33,1030,5
"2095",33,1044,7
"2096",33,1062,6
"2098",33,1074,6
"2099",33,1077,7
"2100",33,1085,6
"2102",33,1104,5
"2103",33,1112,6
"2105",33,1127,6
"2108",33,1175,6
"2109",33,1180,5
"2110",33,1185,4
"2111",33,1203,6
"2113",33,1227,6
"2115",33,1268,6
"2116",33,1274,7
"2117",33,1368,7
"2120",33,1419,4
"2121",33,1437,7
"2122",33,1465,7
"2123",33,1486,7
"2124",33,1492,6
"2125",33,1498,5
"2126",33,1543,5
"2127",33,1555,5
"2131",33,1620,5
"2133",33,1694,5
"2134",33,1704,5
"2136",33,1730,5
"2137",33,1744,5
"2138",33,1759,7
"2139",33,1763,7
"2142",33,1797,5
"2143",33,1799,6
"2145",33,1828,7
"2147",33,1846,7
"2150",33,1875,5
"2151",33,1896,8
"2154",33,1923,6
"2155",33,1947,8
"2158",33,1966,6
"2160",33,1986,6
"2162",33,2006,6
"2166",33,2069,6
"2169",33,2107,6
"2170",33,2118,6
"2172",33,2141,6
"2173",33,2158,8
"2176",33,2192,7
"2177",33,2196,6
"2178",33,2211,7
"2179",33,2230,6
"2180",33,2242,6
"2183",33,2295,8
"2185",33,2327,6
"2186",33,2332,7
"2187",33,2340,4
"2189",33,2381,6
"2190",33,2389,4
"2191",33,2413,7
"2192",33,2418,6
"2193",33,2452,7
"2195",33,2488,6
"2196",33,2498,7
"2198",33,2512,7
"2199",33,2523,6
"2200",33,2535,6
"2201",33,2585,5
"2202",33,2607,7
"2203",33,2682,7
"2204",33,2701,6
"2205",33,2827,8
"2206",33,2835,6
"2209",33,2857,6
"2211",33,2877,8
"2212",33,2880,6
"2213",33,2897,4
"2214",33,2908,7
"2215",33,2915,7
"2216",33,2919,8
"2220",33,2954,4
"2221",33,2984,8
"2226",33,3029,6
"2232",33,3085,7
"2233",33,3134,9
"2235",33,3261,6
"2238",33,3341,8
"2241",33,3375,8
"2242",33,3380,8
"2243",33,3388,9
"2244",33,3415,8
"2246",33,3435,8
"2247",33,3443,8
"2248",33,3486,8
"2249",33,3488,7
"2250",33,3524,6
"2252",33,3570,10
"2254",33,3626,6
"2255",33,3746,6
"2256",33,3757,6
"2264",33,3941,6
"2265",33,3994,6
"2590",44,52,4
"2594",44,74,4
"2595",44,75,3
"2596",44,82,4
"2597",44,93,6
"2599",44,104,4
"2600",44,118,4
"2601",44,120,5
"2602",44,121,4
"2603",44,135,5
"2604",44,137,4
"2605",44,151,6
"2606",44,152,6
"2607",44,162,6
"2608",44,173,4
"2609",44,180,5
"2610",44,181,4
"2611",44,186,4
"2612",44,196,6
"2613",44,203,4
"2614",44,209,5
"2615",44,211,6
"2616",44,220,4
"2617",44,222,7
"2618",44,226,5
"2619",44,237,5
"2625",44,270,5
"2631",44,291,5
"2632",44,300,3
"2635",44,311,5
"2636",44,312,7
"2638",44,325,5
"2641",44,341,6
"2642",44,346,6
"2643",44,347,3
"2644",44,354,3
"2645",44,361,6
"2646",44,365,5
"2649",44,377,7
"2652",44,393,7
"2653",44,402,5
"2655",44,413,7
"2656",44,420,7
"2657",44,421,6
"2658",44,427,5
"2660",44,437,7
"2661",44,442,7
"2662",44,455,3
"2663",44,456,5
"2665",44,467,5
"2670",44,497,5
"2671",44,502,6
"2674",44,514,5
"2675",44,525,7
"2677",44,534,5
"2683",44,574,5
"2684",44,579,5
"2685",44,596,5
"2686",44,598,6
"2688",44,609,5
"2689",44,613,6
"2690",44,626,8
"2691",44,634,7
"2693",44,645,7
"2695",44,661,6
"2696",44,664,7
"2697",44,666,6
"2698",44,678,6
"2699",44,679,7
"2700",44,681,6
"2701",44,696,6
"2702",44,697,7
"2703",44,707,4
"2704",44,720,5
"2705",44,724,8
"2708",44,752,6
"2709",44,754,5
"2710",44,765,7
"2713",44,781,6
"2716",44,794,6
"2718",44,809,4
"2719",44,813,5
"2720",44,824,6
"2721",44,844,4
"2722",44,862,6
"2724",44,881,5
"2726",44,911,6
"2730",44,985,8
"2732",44,1028,5
"2733",44,1030,4
"2734",44,1044,6
"2735",44,1062,5
"2737",44,1074,5
"2738",44,1077,6
"2739",44,1085,7
"2741",44,1104,4
"2742",44,1112,5
"2744",44,1127,5
"2747",44,1175,5
"2748",44,1180,6
"2749",44,1185,5
"2750",44,1203,5
"2752",44,1227,3
"2754",44,1268,5
"2755",44,1274,4
"2756",44,1368,6
"2759",44,1419,5
"2760",44,1437,8
"2761",44,1465,6
"2762",44,1486,6
"2763",44,1492,7
"2764",44,1498,6
"2765",44,1543,6
"2766",44,1555,8
"2770",44,1620,6
"2772",44,1694,8
"2773",44,1704,6
"2775",44,1730,4
"2776",44,1744,6
"2777",44,1759,8
"2778",44,1763,6
"2781",44,1797,8
"2782",44,1799,5
"2784",44,1828,6
"2786",44,1846,6
"2789",44,1875,6
"2790",44,1896,7
"2793",44,1923,5
"2794",44,1947,7
"2797",44,1966,7
"2799",44,1986,3
"2801",44,2006,5
"2805",44,2069,5
"2808",44,2107,7
"2809",44,2118,5
"2811",44,2141,7
"2812",44,2158,7
"2815",44,2192,6
"2816",44,2196,5
"2817",44,2211,6
"2818",44,2230,5
"2819",44,2242,3
"2822",44,2295,7
"2824",44,2327,5
"2825",44,2332,4
"2826",44,2340,5
"2828",44,2381,5
"2829",44,2389,5
"2830",44,2413,6
"2831",44,2418,5
"2832",44,2452,6
"2834",44,2488,7
"2835",44,2498,4
"2837",44,2512,8
"2838",44,2523,5
"2839",44,2535,5
"2840",44,2585,6
"2841",44,2607,4
"2842",44,2682,6
"2843",44,2701,7
"2844",44,2827,5
"2845",44,2835,7
"2848",44,2857,7
"2850",44,2877,5
"2851",44,2880,7
"2852",44,2897,5
"2853",44,2908,6
"2854",44,2915,6
"2855",44,2919,5
"2859",44,2954,7
"2860",44,2984,7
"2865",44,3029,7
"2871",44,3085,6
"2872",44,3134,6
"2874",44,3261,7
"2877",44,3341,7
"2880",44,3375,7
"2881",44,3380,5
"2882",44,3388,6
"2883",44,3415,5
"2885",44,3435,5
"2886",44,3443,7
"2887",44,3486,7
"2888",44,3488,6
"2889",44,3524,5
"2891",44,3570,5
"2893",44,3626,7
"2894",44,3746,5
"2895",44,3757,7
"2903",44,3941,5
"2904",44,3994,7
"3229",52,74,4
"3230",52,75,3
"3231",52,82,4
"3232",52,93,4
"3234",52,104,4
"3235",52,118,4
"3236",52,120,5
"3237",52,121,6
"3238",52,135,7
"3239",52,137,8
"3240",52,151,4
"3241",52,152,4
"3242",52,162,4
"3243",52,173,4
"3244",52,180,3
"3245",52,181,4
"3246",52,186,6
"3247",52,196,4
"3248",52,203,4
"3249",52,209,7
"3250",52,211,6
"3251",52,220,6
"3252",52,222,5
"3253",52,226,5
"3254",52,237,7
"3260",52,270,3
"3266",52,291,7
"3267",52,300,5
"3270",52,311,5
"3271",52,312,5
"3273",52,325,7
"3276",52,341,6
"3277",52,346,4
"3278",52,347,3
"3279",52,354,3
"3280",52,361,6
"3281",52,365,5
"3284",52,377,7
"3287",52,393,7
"3288",52,402,5
"3290",52,413,7
"3291",52,420,5
"3292",52,421,6
"3293",52,427,5
"3295",52,437,7
"3296",52,442,7
"3297",52,455,5
"3298",52,456,3
"3300",52,467,5
"3305",52,497,7
"3306",52,502,6
"3309",52,514,3
"3310",52,525,5
"3312",52,534,7
"3318",52,574,5
"3319",52,579,5
"3320",52,596,5
"3321",52,598,6
"3323",52,609,5
"3324",52,613,6
"3325",52,626,6
"3326",52,634,5
"3328",52,645,9
"3330",52,661,6
"3331",52,664,5
"3332",52,666,6
"3333",52,678,6
"3334",52,679,7
"3335",52,681,8
"3336",52,696,6
"3337",52,697,9
"3338",52,707,6
"3339",52,720,7
"3340",52,724,6
"3343",52,752,6
"3344",52,754,5
"3345",52,765,7
"3348",52,781,6
"3351",52,794,6
"3353",52,809,8
"3354",52,813,7
