frame,ID,centroidX,centroidY,dir,1cm,test,7
0,402,2214.5,1570.0,21.44773632710535,113.33333333333334,10,0
0,596,3274.5,1060.0,-34.15969454566943,93.33333333333334,44,0
0,664,2377.5,1027.5,34.11447294534126,93.33333333333334,47,1
0,862,3170.5,909.75,28.61045966596522,113.33333333333334,51,0
0,696,1991.25,865.5,-116.18811069748087,110.0,57,0
0,645,1867.5,809.5,162.75854060106005,90.0,59,0
0,311,2764.25,750.0,25.844387554560335,123.33333333333334,65,0
0,237,809.25,617.5,-108.8531587644191,76.66666666666667,74,0
0,574,1780.5,560.25,110.35322914806883,103.33333333333334,76,0
0,151,3198.75,436.5,-74.05460409907715,80.0,80,1
0,681,2806.0,450.25,24.655898744081615,103.33333333333334,82,1
1,794,2763.0,1600.25,44.292680631455745,93.33333333333334,7,0
1,402,2218.5,1579.25,21.80140948635181,113.33333333333334,8,0
1,596,3270.5,1053.0,-41.49646835521554,80.0,40,1
1,664,2387.75,1027.75,106.60698057861701,100.0,44,0
1,862,3171.5,908.75,31.723602957684026,110.0,47,0
1,696,1992.25,871.0,-114.65589874408161,113.33333333333334,55,0
1,645,1866.75,810.0,161.83404347077447,113.33333333333334,59,0
1,311,2769.0,749.75,29.74488129694222,120.0,63,0
1,151,3199.0,435.75,-74.38901146632034,73.33333333333334,80,0
1,681,2812.75,447.5,21.96056402009647,110.0,82,0
2,596,3268.75,1052.5,-43.22853025996592,90.0,34,0
2,664,2385.0,1020.75,100.8230112262071,110.0,39,0
2,862,3176.5,909.75,29.953608167801498,113.33333333333334,44,0
2,645,1865.5,814.75,165.37912601136836,110.0,51,0
2,311,2769.25,752.75,29.054604099077146,116.66666666666667,55,0
2,574,1810.75,580.75,116.96571443287016,103.33333333333334,67,0
2,681,2818.0,444.75,25.387906291095927,103.33333333333334,74,0
3,794,2771.75,1604.5,55.24408744645863,96.66666666666667,8,0
3,402,2220.25,1607.0,27.32389130134654,113.33333333333334,9,0
3,596,3265.0,1054.0,-38.15722658736906,90.0,37,0
3,862,3176.5,910.75,32.78428086586915,113.33333333333334,45,0
3,645,1865.0,818.25,165.7499673021964,106.66666666666667,55,0
3,311,2770.75,752.25,31.23921488820876,120.0,60,0
3,237,795.75,613.0,-99.65989307844234,80.0,69,0
3,574,1803.5,584.75,118.23744553816725,90.0,70,1
3,151,3194.0,431.25,-72.8380811971347,66.66666666666667,79,1
3,681,2817.5,442.5,25.709953780811265,96.66666666666667,80,0
3,421,2912.25,219.5,-77.84505830277777,96.66666666666667,93,1
3,151,1949.25,92.25,-115.14478563067895,90.0,96,1
