frame,ID,centroidX,centroidY,dir,1cm,test,7
0,596,1669.25,1410.5,-46.66833744829331,116.66666666666667,69.0,0
0,512,1188.75,1295.0,-112.83365417791754,60.0,82.0,1
0,420,1161.5,310.75,81.06940989958102,116.66666666666667,145.0,0
1,3261,1898.0,1588.25,138.3664606634298,70.0,45.0,0
1,596,1669.25,1409.5,-52.980113745168524,116.66666666666667,58.0,0
1,696,1181.0,1295.25,-97.1250163489018,116.66666666666667,69.0,0
1,304,1516.5,1008.5,135.0,80.0,86.0,1
1,420,1161.5,311.25,86.13453883014826,113.33333333333334,141.0,0
2,3261,1894.0,1589.0,153.434948822922,86.66666666666667,52.0,1
2,596,1661.25,1403.0,-50.30092651652569,113.33333333333334,68.0,0
2,304,1518.0,1018.25,130.15599962491933,70.0,98.0,1
2,420,1163.75,313.25,86.08175113593262,120.0,162.0,0
3,765,1334.25,2063.0,-10.619655276155134,76.66666666666667,5.0,1
3,3261,1894.75,1588.75,155.9557767306322,83.33333333333334,54.0,1
3,596,1654.5,1395.0,-48.65222278030633,106.66666666666667,73.0,0
3,696,1147.5,1292.0,-98.42696902148067,106.66666666666667,84.0,0
3,304,1527.0,1022.75,123.27488798483492,60.0,103.0,1
3,420,1164.0,314.75,84.12260739335687,116.66666666666667,164.0,1
4,765,1334.0,2053.5,-8.426969021480673,90.0,3.0,1
4,392,1905.5,1645.0,112.98871680208065,73.33333333333334,45.0,1
4,596,1652.75,1395.25,-46.1457628381751,110.0,68.0,0
4,696,1151.5,1305.5,-98.61564818416412,110.0,75.0,1
4,325,865.5,343.25,-14.796762245057346,93.33333333333334,142.0,0
4,420,1163.0,315.75,84.44702896696319,120.0,146.0,0
5,1730,1339.0,2049.0,-106.38954033403479,90.0,5.0,1
5,3261,1891.75,1589.5,151.97549946792975,83.33333333333334,52.0,1
5,696,1149.75,1317.0,-102.30801581742793,113.33333333333334,76.0,1
5,325,855.0,344.5,-7.853313301978219,93.33333333333334,137.0,0
5,420,1163.0,315.5,85.23635830927383,116.66666666666667,141.0,0
6,765,1329.75,2042.75,-14.2645122980799,93.33333333333334,8.0,1
6,3261,1889.75,1591.0,152.72323661688634,90.0,54.0,0
