,frame,ID,centroidX,centroidY,dir,1cm,test,7
65,6,596.0,3256.25,1054.75,-52.96961039432136,86.66666666666669,32,0
68,6,645.0,1845.75,812.5,172.67359333983046,106.66666666666669,45,0
71,6,681.0,2818.75,429.0,21.99112991717713,103.33333333333334,71,1
72,6,421.0,2915.5,210.5,-77.27564431457763,96.66666666666669,84,0
73,7,312.0,3261.25,1633.75,-95.38931175997341,66.66666666666667,3,1
74,7,402.0,2215.75,1614.75,22.963773059854557,110.0,5,0
77,7,596.0,3249.75,1056.75,-51.9810574068298,90.0,41,0
82,7,341.0,2523.25,745.0,-21.124719146072486,80.0,61,0
83,7,681.0,2819.75,425.75,16.82140989004083,80.0,78,1
84,7,421.0,2922.75,207.25,-79.01934998982645,100.0,92,1
85,8,402.0,2209.0,1613.25,18.152705886651155,110.0,7,0
91,8,681.0,2825.5,416.25,21.801409486351808,90.0,75,0
93,9,596.0,3243.0,1059.25,-56.546690545927326,103.33333333333334,36,0
96,9,645.0,1836.25,817.5,-175.3893506813394,106.66666666666669,48,0
97,9,341.0,2524.75,769.75,143.74616226255526,93.33333333333334,56,1
99,9,681.0,2828.0,413.5,17.744671625056935,83.33333333333334,80,0
100,9,421.0,2912.75,211.25,-79.01934998982645,96.66666666666669,87,1
101,10,402.0,2197.0,1602.25,10.459909092929127,113.33333333333334,3,0
102,10,596.0,3237.0,1057.5,-55.007979801441344,93.33333333333334,30,0
105,10,645.0,1829.0,820.25,-162.38742215707614,56.66666666666667,43,1
106,10,341.0,2531.25,778.0,-31.13897243697885,93.33333333333334,49,0
108,10,681.0,2829.75,412.75,18.434948822922014,96.66666666666669,71,0
109,10,421.0,2912.0,208.25,-78.51800864525191,90.0,81,1
111,11,596.0,3228.5,1049.5,-62.74467162505693,100.0,33,0
115,11,681.0,1828.25,825.5,-157.96377305985456,86.66666666666669,48,1
116,11,341.0,2538.5,785.25,-29.51149855709032,93.33333333333334,52,0
118,11,681.0,2830.5,411.0,15.068488159492214,90.0,73,0
119,12,456.0,2754.5,1108.0,-128.6598082540901,36.66666666666667,32,1
120,12,596.0,3220.5,1046.75,-62.062857173461396,93.33333333333334,34,0
123,12,645.0,1826.25,825.75,-70.51387042753424,106.66666666666669,52,1
124,12,341.0,2553.5,791.25,-33.690067525979785,106.66666666666669,57,0
126,12,681.0,2830.25,400.5,16.699244233993618,83.33333333333334,75,0
127,12,421.0,2908.75,211.25,-79.01934998982645,93.33333333333334,82,1
128,13,402.0,2180.5,1573.0,5.042451069170913,106.66666666666669,11,0
131,13,645.0,1819.5,830.75,-160.16787014978158,60.0,53,1
132,13,341.0,2555.0,790.75,-31.390268104187797,103.33333333333334,60,0
134,13,681.0,2830.0,396.75,9.659893078442336,86.66666666666669,81,0
135,13,421.0,2908.25,210.5,-81.2538377374448,86.66666666666669,89,1
139,14,341.0,2556.5,781.25,-23.08513367280828,110.0,59,0
141,14,681.0,2826.25,403.5,16.699244233993618,83.33333333333334,82,0
142,15,596.0,3203.0,1040.0,-67.61986494804043,93.33333333333334,37,0
143,15,645.0,1826.5,829.0,-170.53767779197437,106.66666666666669,48,0
144,15,341.0,2563.0,779.75,-20.854458039578347,116.66666666666669,53,0
146,15,681.0,2822.75,407.25,16.11341823308929,76.66666666666667,75,1
147,16,402.0,2170.0,1555.5,-30.141385552075334,90.0,8,1
148,16,596.0,3202.5,1039.25,-72.34987578006988,96.66666666666669,35,0
151,16,645.0,1829.25,834.75,-175.60129464500451,110.0,48,0
153,16,341.0,2567.75,778.25,-16.29404745659891,113.33333333333334,56,0
155,16,681.0,2819.75,404.25,17.783888442692522,103.33333333333334,82,1
156,17,402.0,2173.0,1548.5,-3.468229258917148,113.33333333333334,12,0
157,17,596.0,3200.0,1040.5,-74.29136217098427,96.66666666666669,38,0
158,17,696.0,1969.75,1042.5,-115.08359400619094,80.0,39,0
160,17,341.0,2575.5,782.5,-13.570434385161484,86.66666666666669,56,0
161,17,681.0,2817.75,399.5,9.462322208025618,106.66666666666669,79,0
162,18,596.0,3203.0,1042.75,-69.44395478041653,90.0,40,0
165,18,645.0,1834.5,843.0,-177.95459151111282,106.66666666666669,53,0
166,18,341.0,2581.25,783.75,-18.434948822922014,110.0,56,0
167,18,341.0,2578.0,780.5,-15.42216131873867,86.66666666666669,59,1
168,18,681.0,2816.5,399.25,10.684912400002716,113.33333333333334,84,0
169,19,402.0,2156.5,1539.0,-1.9091524329963765,113.33333333333334,6,1
170,19,596.0,3201.25,1045.5,-72.31560797344225,93.33333333333334,35,0
171,19,645.0,1834.25,842.25,-179.09061955080085,110.0,44,0
172,19,341.0,2582.0,783.25,-13.0552472237966,116.66666666666669,48,0
173,19,341.0,2582.25,782.25,-11.309932474020215,110.0,50,0
174,19,681.0,2817.5,392.25,8.325650330426836,80.0,78,1
175,20,402.0,2147.25,1537.25,-10.669782804496675,113.33333333333334,13,0
176,20,596.0,3194.25,1044.5,-68.89516141507036,86.66666666666669,36,0
178,20,341.0,2583.75,781.5,-8.930590100418996,116.66666666666669,54,0
179,20,341.0,2583.75,779.5,-10.06068979532297,100.0,56,0
182,20,681.0,2817.25,383.0,-169.8753283446022,46.66666666666667,81,1
183,20,421.0,2913.25,222.25,-77.96940390346214,100.0,88,1
186,21,645.0,1831.5,846.0,-178.2100893917539,113.33333333333334,52,0
187,21,341.0,2591.5,779.0,-4.763641690726177,120.0,56,0
188,21,341.0,2591.5,778.5,-4.899092453787765,123.33333333333334,58,0
189,22,402.0,2139.5,1534.5,-5.194428907734807,106.66666666666669,11,0
190,22,596.0,3179.75,1042.5,-75.77403610124821,100.0,36,0
192,22,341.0,2601.75,782.5,-5.710593137499642,116.66666666666669,52,0
193,23,402.0,2135.75,1537.75,-5.96448710125312,110.0,12,0
196,23,341.0,2617.25,785.25,-16.927513064147046,116.66666666666669,52,0
198,23,781.0,2928.75,360.0,-15.376251248826186,66.66666666666667,74,0
199,23,421.0,2903.0,215.5,-70.90650799951439,83.33333333333334,84,1
201,24,402.0,2130.0,1537.5,-6.911227119024682,110.0,12,0
205,24,341.0,2623.5,782.5,-13.570434385161484,106.66666666666669,56,1
207,24,781.0,2920.75,359.25,-36.119340849479755,76.66666666666667,83,1
208,25,312.0,3208.0,1662.5,-102.3390872783262,80.0,2,1
209,25,402.0,2125.5,1531.25,-9.309940174986037,106.66666666666669,13,0
211,25,596.0,3172.5,1055.25,-80.0361958100928,113.33333333333334,36,0
214,25,645.0,1832.5,850.5,-175.10090754621223,106.66666666666669,53,0
215,25,645.0,1832.5,850.75,-175.0302592718897,106.66666666666669,55,0
216,25,341.0,2619.25,781.25,-10.669782804496675,113.33333333333334,57,0
217,25,781.0,2909.75,354.25,-29.93151184050779,63.33333333333334,85,1
218,25,421.0,2909.0,213.75,-84.12260739335687,96.66666666666669,94,1
219,26,312.0,3212.25,1668.25,-102.9946167919165,70.0,4,0
221,26,402.0,2118.75,1522.75,-17.850318302216834,96.66666666666669,13,0
223,26,596.0,3173.0,1051.5,-79.56252464888182,103.33333333333334,38,0
225,26,341.0,2611.0,777.5,-13.62699485989154,116.66666666666669,54,0
226,26,421.0,2910.5,212.5,-81.86989764584403,90.0,85,1
228,27,596.0,3173.0,1052.5,-82.50414236027014,113.33333333333334,32,0
230,27,341.0,2608.75,776.5,-16.059987307160643,116.66666666666669,47,0
231,27,681.0,2826.5,380.0,15.068488159492214,93.33333333333334,70,1
232,27,781.0,2896.0,348.0,-36.86989764584403,66.66666666666667,72,0
233,27,421.0,2909.5,212.25,-82.67359333983046,86.66666666666669,81,1
234,28,402.0,2114.5,1509.25,-17.52556837372287,96.66666666666669,17,0
236,28,596.0,3175.25,1052.25,-77.5500034921934,110.0,38,0
238,28,341.0,2605.25,778.5,-17.650124219930124,110.0,54,0
239,28,681.0,2827.5,400.75,13.34872711328738,93.33333333333334,78,0
240,29,402.0,2113.5,1505.25,-18.758650347842234,96.66666666666669,8,0
243,29,341.0,2603.75,779.5,-18.18904569965131,120.0,43,0
244,29,681.0,2829.0,415.25,17.102728969052375,106.66666666666669,69,0
245,30,402.0,2109.5,1501.0,-22.932100437589785,93.33333333333334,14,0
247,30,341.0,2603.5,774.5,-21.501434324047903,116.66666666666669,47,0
248,30,681.0,2831.5,425.0,20.136303428248137,106.66666666666669,67,0
249,30,781.0,2885.5,342.25,-53.67317404787977,66.66666666666667,72,1
250,31,312.0,3220.0,1688.75,-113.6293777306568,86.66666666666669,1,1
251,31,402.0,2107.0,1495.25,-20.67442476087389,90.0,14,0
253,31,596.0,3160.5,1060.25,-74.15691788231301,106.66666666666669,32,0
255,31,341.0,2596.0,766.75,-19.70797884297872,116.66666666666669,47,0
256,31,681.0,2838.25,426.25,23.87528085392752,106.66666666666669,66,0
257,31,781.0,2883.25,341.5,-59.2645122980799,66.66666666666667,70,1
258,32,402.0,2105.75,1491.25,-25.144785630678946,86.66666666666669,10,0
260,32,596.0,3158.25,1062.0,-71.8008349469546,110.0,29,0
262,32,645.0,1837.5,850.25,154.41148685868356,110.0,42,0
263,32,341.0,2590.75,760.75,-21.94869908352698,116.66666666666669,49,0
264,32,681.0,2841.25,429.25,31.551384948313483,106.66666666666669,70,0
265,33,402.0,2106.25,1488.5,-22.782405730481692,86.66666666666669,8,0
267,33,341.0,2588.25,759.25,-19.916405993809086,116.66666666666669,43,0
268,33,681.0,2840.75,429.5,34.41836447905621,106.66666666666669,65,0
269,33,781.0,2894.5,337.25,-49.537772507906645,70.0,70,0
270,34,402.0,2100.5,1484.25,-24.179107146689176,86.66666666666669,14,0
271,34,596.0,3160.0,1053.5,-85.23635830927383,110.0,32,0
273,34,645.0,1852.0,841.25,173.19094982038658,113.33333333333334,44,0
274,34,341.0,2586.25,761.75,-27.64597536373868,110.0,50,0
275,34,781.0,3272.75,620.0,-39.33271432176087,33.333333333333336,58,1
276,34,681.0,2840.0,430.5,36.52885536698518,103.33333333333334,70,0
277,34,781.0,2913.75,336.75,-45.0,70.0,74,1
279,35,402.0,2100.5,1481.25,-20.1706534118504,83.33333333333334,12,0
281,35,645.0,1857.0,840.0,169.38034472384487,110.0,53,0
282,35,341.0,2582.5,763.5,-28.739795291688047,116.66666666666669,57,0
284,35,681.0,2842.5,433.25,38.39516450324603,110.0,75,0
285,35,781.0,2924.75,342.75,-37.647620640107654,73.33333333333334,81,0
286,35,222.0,2986.5,65.0,70.01689347810003,46.66666666666667,94,1
287,36,402.0,2101.25,1474.0,-23.025492008528037,73.33333333333334,6,1
289,36,645.0,1861.0,841.0,169.9920201985587,110.0,48,0
290,36,341.0,2572.5,760.25,-33.690067525979785,113.33333333333334,52,0
291,36,681.0,2850.75,437.25,47.66300076606714,100.0,70,0
292,36,781.0,2933.25,346.5,-40.462227492093355,76.66666666666667,72,0
293,37,402.0,2102.0,1469.0,-23.962488974578186,60.0,9,0
295,37,596.0,3172.25,1051.5,-76.14858098619501,100.0,30,0
297,37,645.0,1862.75,840.25,162.59729586864373,113.33333333333334,46,0
298,37,341.0,2560.0,755.25,-35.05942696688698,113.33333333333334,54,0
299,37,681.0,2856.0,442.25,53.79054318281395,110.0,76,0
300,37,781.0,2933.0,345.75,-35.676408221861976,76.66666666666667,81,0
301,38,402.0,2101.5,1473.25,-17.281498371816642,73.33333333333334,14,0
304,38,596.0,3171.25,1056.75,-77.7352262721076,106.66666666666669,37,0
307,38,645.0,1867.0,840.0,159.44395478041653,113.33333333333334,50,0
308,38,341.0,2559.0,759.0,-33.690067525979785,113.33333333333334,60,0
309,38,681.0,2855.0,447.5,48.50353164478446,113.33333333333334,76,0
310,38,781.0,2926.0,341.0,-38.659808254090095,80.0,81,0
311,38,421.0,2898.75,209.5,-126.6070748126075,56.66666666666667,90,1
312,39,402.0,2103.5,1473.75,-20.955776730632184,80.0,11,0
314,39,645.0,1872.75,843.5,159.2539197243166,113.33333333333334,48,0
315,39,341.0,2557.5,761.0,-37.47617956136136,116.66666666666669,55,0
316,39,534.0,3258.5,748.25,178.18169703554818,100.0,56,0
317,39,681.0,2858.0,445.25,51.215635899702654,113.33333333333334,72,0
318,39,781.0,2926.75,337.75,-41.905941941082894,80.0,79,1
319,39,421.0,2898.25,209.5,-128.23382517744693,53.33333333333334,88,1
320,40,402.0,2103.5,1471.0,-17.650124219930124,80.0,11,0
321,40,596.0,3167.25,1061.75,-77.7352262721076,113.33333333333334,35,0
323,40,645.0,1874.75,844.5,162.34987578006988,113.33333333333334,48,0
324,40,534.0,3258.0,748.75,180.0,100.0,53,0
325,40,681.0,2866.0,438.5,51.072456407207696,106.66666666666669,75,0
326,40,781.0,2925.25,335.75,-43.49256424122503,90.0,78,0
327,41,402.0,2104.0,1468.5,-17.744671625056935,83.33333333333334,10,0
328,41,794.0,2944.5,1423.25,5.61758059012683,100.0,14,0
329,41,626.0,3132.25,1369.5,-105.47863816541836,100.0,15,0
331,41,645.0,1871.5,851.25,158.7907738657772,110.0,45,0
332,41,341.0,2552.0,768.5,-43.830860672092584,110.0,54,0
333,41,681.0,2862.75,437.75,51.48307369289724,103.33333333333334,74,0
334,41,781.0,2924.0,335.25,-37.9716037610504,90.0,81,0
336,42,402.0,2103.5,1464.25,-15.945395900922856,76.66666666666667,8,0
337,42,645.0,1869.75,861.25,162.59729586864373,113.33333333333334,50,0
338,42,341.0,2543.25,772.5,-51.60483549675397,113.33333333333334,55,0
339,42,534.0,3258.25,748.25,-179.09061955080085,100.0,56,0
340,42,681.0,2854.75,435.25,42.56335175318987,103.33333333333334,72,0
341,42,781.0,2919.0,334.0,-41.98721249581666,86.66666666666669,77,0
343,42,421.0,2901.0,207.5,-80.53767779197439,96.66666666666669,88,1
344,43,402.0,2103.5,1460.75,-15.350136492424419,83.33333333333334,11,0
345,43,794.0,2941.75,1420.75,18.434948822922014,113.33333333333334,14,0
347,43,645.0,1875.25,871.75,164.60445074600491,116.66666666666669,46,0
348,43,341.0,2541.0,776.5,-55.007979801441344,120.0,53,0
349,43,534.0,3258.0,747.75,180.0,103.33333333333334,54,0
350,43,681.0,2855.25,432.75,40.135485562239474,106.66666666666669,74,0
351,43,781.0,2914.75,334.25,-40.48601154199874,86.66666666666669,79,0
352,43,421.0,2902.25,207.75,-77.0053832080835,90.0,86,1
353,44,402.0,2098.25,1460.5,-20.28255908891661,83.33333333333334,13,1
354,44,794.0,2943.75,1420.5,24.842389105455194,106.66666666666669,15,0
357,44,645.0,1876.5,873.5,164.74488129694222,113.33333333333334,43,0
358,44,341.0,2536.75,781.25,-57.90740867126584,116.66666666666669,48,0
359,44,534.0,3257.25,748.25,177.27368900609375,106.66666666666669,49,0
360,44,681.0,2854.0,423.5,33.690067525979785,110.0,71,0
361,44,421.0,2902.0,207.25,-78.51800864525191,96.66666666666669,82,1
362,45,402.0,2095.75,1462.75,-26.07535558394877,83.33333333333334,13,1
363,45,794.0,2945.5,1416.25,24.51964268819076,103.33333333333334,16,0
364,45,985.0,2759.75,1134.0,-120.65066795705286,50.0,31,1
366,45,645.0,1877.25,878.75,164.60445074600491,113.33333333333334,46,0
367,45,341.0,2527.25,784.0,-59.452428251092975,120.0,56,0
368,45,681.0,2850.25,421.25,28.539985187959967,106.66666666666669,73,0
370,46,402.0,2102.75,1467.5,-16.699244233993618,83.33333333333334,10,0
371,46,794.0,2946.0,1403.0,24.775140568831922,103.33333333333334,14,0
372,46,985.0,2759.25,1135.0,-124.59228868750995,66.66666666666667,34,1
374,46,645.0,1879.0,894.0,157.61986494804043,110.0,46,1
375,46,681.0,2843.0,420.0,29.74488129694222,110.0,73,1
376,46,781.0,2908.0,333.25,-47.23117460803125,90.0,77,0
378,46,222.0,3006.5,93.25,77.19573393471325,56.66666666666667,87,1
379,47,402.0,2106.25,1466.25,-17.783888442692522,86.66666666666669,9,0
380,47,794.0,2938.25,1394.75,22.693794945092357,100.0,12,0
381,47,645.0,1882.75,909.0,168.5180086452519,110.0,38,0
383,47,341.0,2517.25,792.5,-65.22485943116808,120.0,49,0
384,47,534.0,3257.0,744.75,-113.09682191816084,106.66666666666669,53,1
385,47,311.0,3021.75,535.0,58.78159723565364,60.0,67,1
387,47,681.0,2840.25,422.0,-52.95752522691714,110.0,74,1
388,48,402.0,2111.0,1472.5,-11.689369175439193,93.33333333333334,15,0
389,48,626.0,3116.0,1328.5,-82.09283729704156,110.0,25,0
390,48,645.0,1881.75,921.0,164.18080605249986,93.33333333333334,45,0
392,48,341.0,2510.25,797.5,-70.16787014978162,86.66666666666669,54,0
393,48,681.0,2836.0,425.25,19.17900802581072,90.0,76,1
394,49,402.0,2114.25,1479.5,-15.333284793053545,100.0,9,0
396,49,645.0,1879.25,932.0,166.80938928779315,106.66666666666669,39,1
398,49,341.0,2509.75,800.75,-70.94229548987167,86.66666666666669,49,0
399,49,534.0,3256.5,748.75,174.3824194098732,103.33333333333334,51,0
400,49,681.0,2833.25,426.75,9.323591778138011,100.0,63,0
401,49,781.0,2892.75,326.25,-65.55604521958347,93.33333333333334,67,0
402,50,402.0,2115.0,1483.25,-11.129189289611187,100.0,8,0
403,50,985.0,2751.75,1135.25,-115.82099197418928,56.66666666666667,26,0
404,50,596.0,3157.75,1073.25,-92.41950921665634,110.0,30,0
405,50,645.0,1874.75,939.75,168.6900675259798,106.66666666666669,37,0
407,50,341.0,2510.25,802.0,-73.83550084774309,116.66666666666669,46,0
408,50,534.0,3257.25,748.5,177.2297842027998,110.0,50,0
409,50,311.0,3028.25,520.0,43.95837332399001,63.33333333333334,61,1
410,50,681.0,2825.25,425.0,5.877392606643137,103.33333333333334,67,0
412,50,781.0,2883.75,324.5,-61.049004792533204,83.33333333333334,73,0
413,51,402.0,2114.5,1491.25,-16.440379521680168,106.66666666666669,11,0
414,51,794.0,2898.75,1372.25,-7.001267557495337,96.66666666666669,15,0
415,51,626.0,3101.0,1323.5,-78.36636600105956,106.66666666666669,19,0
417,51,985.0,2759.25,1137.75,-117.25532837494309,70.0,30,0
418,51,645.0,1874.75,944.5,168.15792388467224,96.66666666666669,42,0
419,51,341.0,2503.0,801.25,-77.77487732426425,83.33333333333334,51,0
420,51,534.0,3257.25,748.5,177.2297842027998,110.0,54,0
421,51,311.0,3023.0,514.75,42.08916217383224,70.0,67,1
422,51,781.0,2876.0,322.5,-69.44395478041653,76.66666666666667,74,1
423,51,421.0,2908.0,210.0,-68.19859051364817,83.33333333333334,82,1
424,52,402.0,2112.75,1493.0,-17.571258778322424,106.66666666666669,14,0
425,52,794.0,2892.5,1360.75,-11.093723011557849,83.33333333333334,20,1
426,52,794.0,2892.25,1361.75,-9.293308599397117,100.0,21,0
428,52,341.0,2498.75,798.75,-72.14968169778318,80.0,58,0
429,52,681.0,2812.25,423.75,-8.13010235415598,110.0,78,1
431,52,781.0,2878.75,321.5,-70.55996517182379,80.0,84,0
432,53,402.0,2112.5,1493.5,-16.189206257026946,110.0,12,0
433,53,794.0,2894.5,1357.5,-6.340191745909911,83.33333333333334,18,1
434,53,626.0,3089.25,1311.0,-73.83550084774309,103.33333333333334,22,0
435,53,341.0,2494.0,793.5,-73.30075576600639,83.33333333333334,58,0
436,53,311.0,3006.25,502.75,45.0,73.33333333333334,69,0
437,53,681.0,2811.5,424.75,-15.037815903582251,106.66666666666669,73,0
438,54,402.0,2115.5,1490.5,-12.724355685422369,110.0,11,0
439,54,626.0,3085.25,1303.5,-75.37912601136834,106.66666666666669,22,0
442,54,341.0,2486.25,785.5,-72.47443162627712,80.0,49,1
443,54,681.0,2811.0,433.5,-15.945395900922856,103.33333333333334,64,0
444,54,781.0,2872.75,325.0,-68.58703052512824,86.66666666666669,73,0
445,54,421.0,2913.0,212.25,-79.1769887737929,86.66666666666669,80,1
446,54,222.0,3018.0,125.75,127.99873244250469,70.0,85,0
447,55,402.0,2116.0,1493.0,-13.240519915187207,110.0,12,0
448,55,626.0,3079.0,1294.5,-69.07549825507883,100.0,23,0
449,55,985.0,2693.25,1161.5,176.82016988013575,90.0,29,0
451,55,645.0,1900.25,949.75,156.54097591853844,90.0,42,0
452,55,341.0,2477.0,778.0,-73.61045966596522,123.33333333333334,55,0
453,55,534.0,3255.5,748.75,178.12212255271461,100.0,56,0
454,55,311.0,3011.25,490.5,24.34108993669251,73.33333333333334,68,1
455,55,681.0,2805.5,430.0,-20.924501744921166,113.33333333333334,70,0
456,55,781.0,2874.75,325.5,-70.55996517182379,86.66666666666669,75,0
457,55,222.0,3016.75,128.25,132.9545915111128,60.0,89,1
458,56,402.0,2118.5,1492.5,-8.615648184164113,110.0,16,0
459,56,794.0,2905.25,1342.75,-4.84400037508068,100.0,22,0
460,56,664.0,3164.5,1270.25,48.01278750418334,30.0,32,1
461,56,985.0,2703.75,1173.25,174.8055710922652,90.0,37,0
463,56,645.0,1907.5,952.5,152.52556837372288,90.0,52,0
464,56,341.0,2480.75,779.0,-73.37924308610795,103.33333333333334,66,0
465,56,311.0,3009.75,491.0,32.00538320808349,80.0,79,0
466,56,681.0,2797.25,435.25,-22.79652146794261,106.66666666666669,82,0
467,56,781.0,2878.5,326.0,-72.25532837494306,76.66666666666667,87,0
468,56,421.0,2916.75,216.0,-80.40686573726967,86.66666666666669,100,1
469,56,222.0,3016.5,128.75,137.72631099390622,63.33333333333334,103,1
470,57,402.0,2120.0,1497.0,-6.7098368077569335,106.66666666666669,9,0
471,57,794.0,2894.5,1336.0,-10.124671655397817,96.66666666666669,16,0
472,57,626.0,3064.25,1288.5,-77.84505830277777,106.66666666666669,21,0
473,57,985.0,2707.75,1184.0,169.38034472384487,80.0,27,1
475,57,645.0,1911.75,958.5,144.3446719020997,93.33333333333334,38,0
476,57,341.0,2474.75,778.25,-73.92642583525361,83.33333333333334,49,1
477,57,534.0,3256.0,748.5,176.30861401354875,106.66666666666669,50,0
479,57,681.0,2789.75,441.25,-29.8459319496874,113.33333333333334,64,0
480,57,781.0,2881.5,327.5,-62.35402463626132,76.66666666666667,72,0
481,57,222.0,3013.5,124.5,138.17983011986425,80.0,85,1
482,58,312.0,3189.75,1705.25,-95.96448710125313,63.33333333333334,2,1
483,58,402.0,2120.5,1497.25,-8.74616226255521,110.0,8,0
484,58,794.0,2889.75,1324.25,-21.974507991471963,103.33333333333334,16,0
485,58,626.0,3056.75,1285.25,-72.59729586864373,110.0,20,0
486,58,985.0,2703.25,1197.75,155.1363034282481,66.66666666666667,24,0
487,58,596.0,3122.25,1074.0,-90.0,116.66666666666669,34,0
489,58,645.0,1915.75,960.5,144.3446719020997,93.33333333333334,41,0
490,58,341.0,2471.5,780.5,-73.81079374297306,83.33333333333334,56,0
491,58,311.0,3031.0,512.0,48.36646066342981,90.0,70,0
492,58,681.0,2788.5,440.0,-30.69972255081441,110.0,75,0
493,58,781.0,2883.5,328.5,-68.62937773065681,83.33333333333334,81,1
494,58,421.0,2910.25,217.5,-82.1998121158183,86.66666666666669,89,1
495,58,222.0,3013.5,121.75,137.17474411461006,83.33333333333334,93,0
496,59,312.0,3176.75,1707.25,-99.32359177813801,66.66666666666667,1,0
497,59,402.0,2122.5,1498.5,-5.194428907734807,113.33333333333334,12,0
498,59,626.0,3051.25,1275.5,-77.07400087529405,96.66666666666669,23,0
500,59,645.0,1924.25,968.25,140.85601358542894,90.0,42,1
502,59,341.0,2466.0,780.75,-75.96375653207353,83.33333333333334,58,0
503,59,311.0,3048.25,518.25,49.763641690726175,80.0,73,1
504,59,681.0,2791.5,437.75,-31.09731288577945,110.0,76,0
505,59,781.0,2883.5,329.0,-66.50143432404789,80.0,83,1
506,59,421.0,2910.0,218.0,-83.29016319224306,86.66666666666669,90,1
507,59,222.0,3012.75,120.5,141.1886159632416,93.33333333333334,95,0
508,60,312.0,3171.5,1709.25,-96.44160009933505,70.0,1,1
509,60,402.0,2125.25,1502.75,-4.267893300290813,113.33333333333334,9,0
510,60,794.0,2893.75,1313.75,-21.29735404903376,103.33333333333334,20,0
511,60,626.0,3052.25,1272.0,-74.32047587758075,96.66666666666669,27,1
512,60,985.0,2730.75,1217.5,148.2985703304943,63.33333333333334,28,1
514,60,645.0,1935.75,976.5,129.66784111834045,83.33333333333334,46,0
515,60,341.0,2461.0,786.75,-75.96375653207353,80.0,57,0
516,60,681.0,2795.75,442.5,-32.171217128544576,103.33333333333334,78,0
517,60,781.0,2883.0,328.5,-63.43494882292201,76.66666666666667,83,0
518,60,222.0,780.0,218.25,37.9716037610504,90.0,91,1
519,60,222.0,3015.75,121.25,136.3639275316029,93.33333333333334,95,0
520,61,312.0,3165.25,1710.25,-96.54629078329405,76.66666666666667,0,1
521,61,794.0,2898.0,1310.5,-22.479434397103113,103.33333333333334,17,0
522,61,626.0,3048.5,1269.5,-69.22774531795417,100.0,23,1
526,61,681.0,2791.0,441.5,-30.141385552075334,113.33333333333334,80,0
527,61,781.0,2883.25,328.0,-66.03751102542182,76.66666666666667,86,0
528,61,421.0,2903.0,216.0,-71.56505117707798,76.66666666666667,92,1
529,61,222.0,3018.0,126.25,140.63068275763524,83.33333333333334,98,1
530,62,312.0,3167.75,1709.75,-105.10109816138544,76.66666666666667,1,0
531,62,402.0,2128.25,1505.0,5.877392606643137,106.66666666666669,10,0
532,62,794.0,2899.75,1300.5,-21.630886836517924,103.33333333333334,24,1
533,62,626.0,3040.5,1261.5,-72.75854060106002,103.33333333333334,28,0
534,62,1947.0,3312.75,1044.25,-25.144785630678946,93.33333333333334,42,1
536,62,341.0,2450.25,784.5,-80.69005982501395,80.0,58,0
537,62,534.0,3256.0,749.5,180.0,103.33333333333334,60,0
539,62,681.0,2785.5,445.75,-31.09731288577945,110.0,76,0
540,62,781.0,2885.0,328.0,-65.22485943116808,86.66666666666669,83,0
541,62,421.0,2901.0,214.75,-72.42874122167758,80.0,92,1
