frame,X,Y,cat
752,2651.25,1333.0,0
754,2649.5,1331.25,0
755,2652.25,1333.25,0
757,2651.0,1331.0,0
759,2218.25,920.25,1
761,2651.0,1330.75,0
762,2650.75,1331.75,0
763,2650.5,1331.0,0
764,2653.25,1332.25,0
765,2651.25,1332.25,0
766,2650.25,1331.25,0
768,2005.5,1306.5,0
770,2649.75,1331.25,0
772,2651.5,1333.0,0
775,2650.0,1330.75,0
776,2141.5,992.0,1
779,2649.5,1330.5,0
780,2647.0,1332.75,0
781,2650.0,1331.25,0
783,2648.25,1330.0,0
784,2646.0,1331.5,0
785,2646.75,1331.75,0
786,2039.75,1295.75,0
787,2644.5,1327.25,0
789,2645.5,1326.0,0
790,2645.0,1323.0,0
791,2644.25,1322.75,0
794,2643.25,1323.75,0
795,2644.0,1323.75,0
799,2647.0,1322.75,0
800,2644.5,1319.5,0
801,2645.25,1319.5,0
802,2645.25,1319.5,0
804,2646.0,1318.25,0
805,2642.75,1319.5,0
809,2644.5,1320.25,0
811,2642.75,1318.75,0
812,2642.5,1319.0,0
814,2641.5,1320.25,0
816,2640.75,1318.0,0
817,2639.75,1317.25,0
818,2639.0,1317.75,0
819,2639.5,1318.25,0
820,2638.25,1318.5,0
821,2638.75,1318.5,0
822,2638.75,1319.25,0
823,2638.5,1318.0,0
