frame,ID,centroidX,centroidY,dir,1cm,test,7
0,2118,942.25,1753.25,-117.18111108547723,66.66666666666667,16,1
0,1543,948.25,1238.25,-178.53119928561418,106.66666666666667,48,0
0,476,1880.0,1202.5,141.34019174590992,60.0,49,1
0,103,1389.75,1128.5,165.55596427550776,116.66666666666667,52,0
0,1028,1901.0,978.0,104.03624346792648,106.66666666666667,55,0
0,274,1678.25,825.75,-152.969139740157,100.0,58,1
0,3134,2015.75,823.5,-45.61605990839923,116.66666666666667,59,0
0,476,1426.5,791.25,-104.40002130679105,86.66666666666667,63,0
0,226,1960.75,650.25,-153.8531587644191,96.66666666666667,70,0
0,502,1288.25,130.25,72.82409638425325,100.0,84,1
1,2523,2115.25,1256.5,-24.842389105455187,96.66666666666667,41,0
1,103,1389.0,1129.25,168.50343698241423,86.66666666666667,49,1
1,354,1099.75,1081.75,41.09950625761811,83.33333333333334,51,1
1,1028,1900.75,977.0,101.12918928961119,106.66666666666667,54,1
1,3134,2016.25,826.5,-41.98721249581666,110.0,60,0
1,274,1674.25,825.5,-153.434948822922,100.0,62,0
1,74,3233.5,751.25,114.7024302277713,93.33333333333334,68,1
1,226,1962.0,654.75,-148.877529803208,106.66666666666667,72,0
1,502,1279.5,128.25,72.52522574374433,93.33333333333334,92,1
2,2118,939.0,1758.75,-136.00508600525419,73.33333333333334,11,1
2,2523,2121.75,1249.5,-19.384515679357836,93.33333333333334,46,1
2,1543,970.25,1234.0,163.46516214265486,106.66666666666667,48,0
2,103,1388.25,1129.25,167.38067770656923,113.33333333333334,53,0
2,354,1097.75,1086.0,43.298645394673876,73.33333333333334,55,1
2,1028,1901.5,977.5,99.16234704572172,103.33333333333334,57,1
2,274,1671.25,835.5,-146.57518881739622,103.33333333333334,62,0
2,1028,2019.0,828.5,41.34777721969367,103.33333333333334,63,1
2,226,1958.0,650.0,-144.46232220802563,90.0,77,0
2,502,1271.0,127.0,70.3461759419467,96.66666666666667,95,1
3,2118,936.0,1760.0,-131.18592516570965,66.66666666666667,16,1
3,1180,2025.25,1305.0,-58.10920819815429,93.33333333333334,39,1
3,1543,972.75,1241.25,153.82471001824007,113.33333333333334,43,0
3,476,1880.25,1200.75,137.04540848888723,63.333333333333336,45,1
3,103,1388.25,1129.0,167.56043798115346,116.66666666666667,47,0
3,354,1095.75,1090.25,45.0,73.33333333333334,49,0
3,1028,1902.0,978.5,102.3390872783262,110.0,51,0
3,274,1675.25,859.25,-144.03948280335513,103.33333333333334,55,1
3,3134,2027.75,827.25,-36.34745820888528,106.66666666666667,56,0
3,74,3239.0,748.0,104.93141717813755,103.33333333333334,65,1
3,226,1962.5,655.25,-143.31027716752422,116.66666666666667,69,0
3,502,1264.0,126.0,66.80140948635182,96.66666666666667,83,1
4,2118,937.75,1765.25,-146.6893691754392,70.0,12,0
4,2523,2123.25,1242.0,-24.057349450011735,90.0,42,0
4,1543,992.25,1244.5,151.87626461671118,110.0,43,0
4,1846,1880.75,1200.75,-41.05481377096244,63.333333333333336,45,1
4,103,1387.25,1127.0,171.31364541876334,120.0,47,0
4,544,1104.75,1084.5,-136.63657704161673,56.66666666666667,50,0
4,1028,1903.0,977.75,98.00472885729286,110.0,51,0
4,274,1673.0,876.25,-134.3414568224364,110.0,54,0
4,3134,2027.5,825.0,-36.15818543980833,103.33333333333334,55,0
4,226,1960.0,661.5,-141.34019174590992,110.0,65,0
4,502,1258.5,121.5,60.94539590092286,103.33333333333334,86,1
5,312,1218.25,1303.0,-47.834111016306515,110.0,35,0
5,103,1387.25,1127.75,171.43085812016236,120.0,40,0
5,354,1110.75,1075.75,48.43363036245052,73.33333333333334,43,0
5,274,1665.0,874.75,-130.87240829748828,113.33333333333334,46,0
5,3134,2023.25,819.0,-33.453309454072674,103.33333333333334,47,0
5,2954,2385.25,806.75,17.700427788667195,83.33333333333334,48,1
5,226,1956.25,668.5,-142.79207807821842,116.66666666666667,55,1
5,502,1255.0,123.25,54.56668598971442,100.0,74,1
6,1543,1001.5,1270.75,118.23744553816725,100.0,46,1
6,103,1386.75,1127.0,169.7651972365768,120.0,54,0
6,354,1113.25,1072.75,45.0,76.66666666666667,55,0
6,1028,1904.25,978.5,95.44033203100551,106.66666666666667,56,0
6,274,1665.0,881.25,-126.098283967108,103.33333333333334,58,0
6,3134,2025.0,814.75,-25.387906291095927,106.66666666666667,60,1
6,2954,2385.0,807.5,14.620873988631656,83.33333333333334,61,1
6,881,3225.5,734.0,-51.34019174590991,36.66666666666667,66,1
6,226,1946.5,677.25,-140.52754015165618,113.33333333333334,70,0
6,502,1250.75,126.5,46.97493401088198,100.0,90,0
7,544,2039.5,1307.5,-79.8244891569568,100.0,39,1
7,770,1017.25,1274.25,111.03751102542182,66.66666666666667,42,1
7,103,1385.25,1127.5,171.54497232282253,120.0,48,0
7,354,1114.5,1075.75,46.77146974003408,83.33333333333334,50,0
7,1028,1905.0,978.75,94.76364169072617,103.33333333333334,52,0
7,274,1663.75,901.0,-123.20657031508954,110.0,55,0
7,3134,2033.75,815.0,-24.22774531795417,103.33333333333334,57,0
7,226,1942.5,678.25,-133.2285302599659,106.66666666666667,68,0
8,312,1192.75,1287.75,-47.16107948822638,100.0,43,0
8,103,1387.0,1127.75,163.83550084774308,116.66666666666667,49,0
8,354,1116.75,1076.25,49.666858371439,83.33333333333334,50,1
8,1028,1905.25,978.0,97.72182580013097,100.0,52,0
8,274,1658.5,905.25,-121.10880882854515,113.33333333333334,54,0
8,3134,2040.0,809.0,-21.80140948635181,110.0,61,0
8,226,1937.5,675.5,-127.87498365109822,106.66666666666667,71,0
8,502,1242.75,128.75,41.09950625761811,96.66666666666667,91,0
9,103,1387.75,1127.0,166.71513351509782,116.66666666666667,52,0
9,354,1120.5,1077.5,54.86580694308437,93.33333333333334,53,0
9,1028,1907.25,978.75,94.84400037508068,100.0,54,0
9,274,1649.5,904.0,-118.88658176691071,110.0,55,0
9,3134,2044.75,798.0,-20.973493421320804,103.33333333333334,59,0
9,226,1924.75,679.0,-130.78582147726596,106.66666666666667,69,0
9,502,1231.5,126.5,42.397437797500196,100.0,87,0
10,601,745.75,1618.25,-112.16634582208246,50.0,16,1
10,3832,2222.5,1337.5,-102.72435568542238,93.33333333333334,28,1
10,103,1385.75,1125.5,166.349580865243,116.66666666666667,36,0
10,354,1121.25,1070.5,50.527540151656176,100.0,37,1
10,1028,1910.0,978.25,96.24191434741505,100.0,38,0
10,274,1637.75,917.0,-116.92767785104051,103.33333333333334,40,1
10,3134,2050.25,792.75,-29.21924669048461,106.66666666666667,48,0
10,476,1391.25,794.25,-108.43494882292202,93.33333333333334,49,0
10,226,1909.5,681.25,-133.069412558833,103.33333333333334,54,0
10,502,1224.25,125.75,33.40782458970893,96.66666666666667,69,1
11,312,1170.25,1279.25,-55.95406264339834,73.33333333333334,34,1
11,103,1387.0,1124.5,167.12499844038751,116.66666666666667,40,0
11,354,1124.5,1073.5,54.86580694308437,103.33333333333334,42,0
11,1028,1910.5,974.75,101.84207611532777,110.0,43,0
11,274,1625.5,925.25,-116.56505117707799,113.33333333333334,46,0
11,2954,2383.25,806.5,22.442753365294347,86.66666666666667,51,1
11,476,1390.25,799.0,-116.21137801783154,93.33333333333334,54,1
11,3134,2053.75,789.25,-31.551384948313483,110.0,55,0
11,226,1905.0,672.5,-126.15818543980834,110.0,60,0
12,103,1388.25,1126.5,171.06940989958102,116.66666666666667,42,0
12,354,1123.0,1073.5,53.84181456019167,93.33333333333334,44,0
12,274,1613.5,912.5,-114.44395478041653,113.33333333333334,46,1
12,476,1387.5,799.5,-112.75097634278764,90.0,51,0
12,3134,2054.25,792.25,-34.91940201245768,106.66666666666667,52,0
12,226,1895.25,665.5,-122.68055474336339,103.33333333333334,56,0
12,2915,2087.25,651.75,75.65066795705286,73.33333333333334,57,1
12,502,1201.25,121.75,26.146841235580894,96.66666666666667,68,0
13,103,1389.5,1128.5,165.57922687248902,120.0,47,0
13,354,1122.75,1076.75,56.56013079421777,96.66666666666667,49,1
13,1028,1909.0,975.75,90.95484125387219,103.33333333333334,50,0
13,274,1595.5,911.75,-109.6538240580533,116.66666666666667,52,1
