,frame,ID,centroidX,centroidY,dir,1cm,test,7
0,0,467.0,2828.25,1034.75,-113.68208772453846,100.0,42.0,0
3,0,1947.0,2150.75,676.0,31.660751096636602,93.33333333333334,60.0,0
8,1,467.0,2828.5,1036.5,-117.47443162627712,96.66666666666669,37.0,0
11,1,1947.0,2151.75,676.25,28.412661443072587,106.66666666666669,59.0,0
14,2,427.0,3163.0,1463.5,-57.652556500557964,120.0,16.0,1
15,2,697.0,2126.75,1282.25,-75.69972255081441,70.0,26.0,1
16,2,467.0,2829.25,1036.75,-118.68614757373943,100.0,40.0,0
17,2,681.0,2195.75,961.25,68.96248897457819,113.33333333333334,48.0,0
20,2,1947.0,2150.25,675.0,25.844387554560328,113.33333333333334,59.0,0
21,2,985.0,2865.0,476.25,-171.72410717292482,110.0,67.0,0
23,3,427.0,3160.0,1464.25,-61.189206257026946,106.66666666666669,15.0,0
24,3,467.0,2829.75,1039.5,-121.72360295768402,110.0,35.0,0
25,3,681.0,2196.0,961.25,68.66314070819435,113.33333333333334,43.0,0
28,3,1947.0,2145.5,674.25,21.801409486351808,110.0,55.0,0
29,3,985.0,2861.5,478.75,16.96614810853619,96.66666666666669,63.0,1
31,4,427.0,3157.0,1460.25,-57.35535986508352,123.33333333333334,17.0,1
32,4,467.0,2830.75,1038.75,-120.96375653207352,103.33333333333334,39.0,0
35,4,1947.0,2139.75,674.75,21.644435140714,106.66666666666669,60.0,0
38,5,467.0,2830.75,1039.0,55.81387751362497,106.66666666666669,37.0,1
41,5,1947.0,2137.75,678.0,24.37646861667477,113.33333333333334,58.0,0
42,5,985.0,2860.0,476.0,-171.86989764584405,113.33333333333334,64.0,0
43,5,985.0,2937.75,413.25,165.7627195342389,113.33333333333334,68.0,0
45,6,467.0,2832.25,1040.75,57.52880770915151,106.66666666666669,35.0,1
46,6,681.0,2196.0,961.25,68.66314070819435,113.33333333333334,42.0,0
49,6,1947.0,2136.5,680.5,25.82099197418928,110.0,54.0,0
53,7,467.0,2836.25,1038.75,54.659893078442344,113.33333333333334,40.0,1
54,7,681.0,2196.0,961.5,71.02959219151346,113.33333333333334,47.0,0
57,7,1947.0,2137.5,678.25,21.801409486351808,106.66666666666669,61.0,0
58,7,985.0,2857.75,482.5,-171.34745820888529,110.0,72.0,1
59,7,985.0,2934.25,413.0,163.16252737432362,126.66666666666669,75.0,0
60,8,427.0,3143.5,1456.25,-61.975499467929744,110.0,17.0,1
61,8,456.0,2225.75,1367.75,46.19348942398204,120.0,19.0,0
62,8,467.0,2837.75,1037.25,54.27260177720031,113.33333333333334,40.0,1
65,8,1947.0,2141.25,674.0,16.534837857345153,106.66666666666669,63.0,0
66,8,985.0,2859.25,482.75,-175.85537625889572,113.33333333333334,70.0,0
68,9,456.0,2227.5,1368.0,43.78112476486871,103.33333333333334,17.0,0
70,9,467.0,2839.0,1036.25,51.215635899702654,113.33333333333334,39.0,1
73,9,1947.0,2140.5,676.75,11.802434207783547,113.33333333333334,63.0,0
76,10,467.0,2840.25,1036.0,-127.66562119858332,120.0,31.0,0
77,10,681.0,2196.0,961.0,72.64597536373867,113.33333333333334,40.0,0
80,10,985.0,2931.0,420.5,164.05460409907712,120.0,63.0,0
82,11,467.0,2839.5,1036.75,-129.8055710922652,113.33333333333334,39.0,0
85,11,985.0,2930.0,426.25,161.32329826780992,126.66666666666669,70.0,1
87,12,467.0,2841.25,1037.5,-133.3316625517067,116.66666666666669,48.0,0
89,12,1947.0,2140.25,673.0,99.65989307844235,66.66666666666667,68.0,0
90,12,1419.0,3193.25,659.25,-25.25316339457388,96.66666666666669,69.0,1
91,12,985.0,2848.25,504.25,-18.904575842611656,120.0,77.0,1
92,12,985.0,2933.25,435.0,164.38901146632034,120.0,81.0,0
94,13,467.0,2840.25,1038.0,-132.1658889836935,113.33333333333334,41.0,0
95,13,681.0,2195.75,961.25,68.96248897457819,113.33333333333334,49.0,0
97,13,1947.0,2142.5,673.5,17.447188423282206,110.0,66.0,0
98,13,1419.0,3192.25,659.5,-24.842389105455194,96.66666666666669,67.0,1
99,13,985.0,2929.25,441.5,163.94001269283936,116.66666666666669,78.0,1
102,14,467.0,2840.25,1039.0,-132.37359436170922,113.33333333333334,41.0,0
103,14,681.0,2195.75,961.25,72.0955524937518,113.33333333333334,50.0,0
105,14,1947.0,2142.5,672.75,18.178018798418503,110.0,64.0,0
106,14,1419.0,3193.0,659.25,-20.67442476087389,93.33333333333334,65.0,1
109,15,467.0,2840.5,1038.25,-137.72631099390622,116.66666666666669,41.0,0
110,15,681.0,2195.5,960.75,67.75097634278764,110.0,48.0,0
113,15,1947.0,2141.5,671.0,23.428692808745406,110.0,64.0,1
114,15,1419.0,3192.5,659.75,-21.801409486351808,96.66666666666669,65.0,1
118,16,467.0,2841.25,1038.5,-142.19347005529553,110.0,45.0,0
121,16,1947.0,2141.5,670.0,22.109448343751673,110.0,67.0,1
124,17,467.0,2841.75,1037.75,-140.49232455712746,110.0,41.0,0
126,17,1947.0,2142.25,669.75,26.200114841347343,103.33333333333334,62.0,0
129,18,427.0,3138.0,1455.25,-65.37643521383639,116.66666666666669,21.0,1
131,18,467.0,2842.0,1037.75,-144.19665589162892,110.0,43.0,0
134,18,1947.0,2142.25,671.0,24.227745317954174,106.66666666666669,66.0,1
137,19,427.0,3139.0,1456.0,-66.03751102542182,116.66666666666669,21.0,1
142,20,427.0,3137.25,1456.25,-70.08359400619092,110.0,19.0,1
144,20,467.0,2846.75,1036.0,-142.4808861795237,116.66666666666669,46.0,1
