"","X1","X14","X4"
"1628",31,46,5
"1632",31,69,4
"1648",31,180,7
"1656",31,222,5
"1664",31,270,7
"1674",31,311,7
"1678",31,330,7
"1682",31,347,7
"1691",31,393,7
"1717",31,542,4
"1726",31,601,6
"1738",31,679,9
"1751",31,770,8
"1755",31,794,4
"1759",31,824,8
"1763",31,881,9
"1771",31,1028,9
"1775",31,1065,7
"1787",31,1180,6
"1792",31,1243,6
"1796",31,1378,10
"1804",31,1543,6
"1812",31,1704,10
"1826",31,1857,10
"1840",31,2006,9
"1845",31,2072,6
"1858",31,2242,11
"1866",31,2355,7
"1874",31,2498,10
"1878",31,2535,9
"1886",31,2856,10
"1890",31,2880,11
"1899",31,2984,13
"1912",31,3163,6
"1917",31,3358,6
"1921",31,3388,8
"1929",31,3554,12
"1933",31,3746,13
"1938",31,3857,9
"2910",46,69,7
"2926",46,180,4
"2934",46,222,4
"2942",46,270,4
"2952",46,311,6
"2956",46,330,6
"2960",46,347,8
"2969",46,393,8
"2995",46,542,5
"3004",46,601,11
"3016",46,679,6
"3029",46,770,7
"3033",46,794,7
"3037",46,824,7
"3041",46,881,8
"3049",46,1028,6
"3053",46,1065,6
"3065",46,1180,9
"3070",46,1243,9
"3074",46,1378,7
"3082",46,1543,7
"3090",46,1704,7
"3104",46,1857,11
"3118",46,2006,10
"3123",46,2072,7
"3136",46,2242,8
"3144",46,2355,8
"3152",46,2498,9
"3156",46,2535,6
"3164",46,2856,7
"3168",46,2880,10
"3177",46,2984,8
"3190",46,3163,9
"3195",46,3358,7
"3199",46,3388,9
"3207",46,3554,9
"3211",46,3746,8
"3216",46,3857,10
"4188",69,180,7
"4196",69,222,7
"4204",69,270,9
"4214",69,311,9
"4218",69,330,7
"4222",69,347,9
"4231",69,393,7
"4257",69,542,8
"4266",69,601,6
"4278",69,679,9
"4291",69,770,8
"4295",69,794,8
"4299",69,824,10
"4303",69,881,7
"4311",69,1028,7
"4315",69,1065,7
"4327",69,1180,8
"4332",69,1243,8
"4336",69,1378,8
"4344",69,1543,6
"4352",69,1704,10
"4366",69,1857,6
"4380",69,2006,9
"4385",69,2072,8
"4398",69,2242,9
"4406",69,2355,9
"4414",69,2498,8
"4418",69,2535,7
"4426",69,2856,10
"4430",69,2880,7
"4439",69,2984,13
"4452",69,3163,8
"4457",69,3358,10
"4461",69,3388,10
"4469",69,3554,10
"4473",69,3746,13
"4478",69,3857,9
"9084",180,222,4
"9092",180,270,8
"9102",180,311,6
"9106",180,330,10
"9110",180,347,10
"9119",180,393,8
"9145",180,542,7
"9154",180,601,11
"9166",180,679,6
"9179",180,770,9
"9183",180,794,9
"9187",180,824,7
"9191",180,881,6
"9199",180,1028,6
"9203",180,1065,8
"9215",180,1180,7
"9220",180,1243,9
"9224",180,1378,9
"9232",180,1543,9
"9240",180,1704,7
"9254",180,1857,11
"9268",180,2006,8
"9273",180,2072,7
"9286",180,2242,8
"9294",180,2355,8
"9302",180,2498,9
"9306",180,2535,6
"9314",180,2856,9
"9318",180,2880,10
"9327",180,2984,8
"9340",180,3163,11
"9345",180,3358,9
"9349",180,3388,9
"9357",180,3554,9
"9361",180,3746,8
"9366",180,3857,8
"11440",222,270,6
"11450",222,311,8
"11454",222,330,6
"11458",222,347,6
"11467",222,393,8
"11493",222,542,5
"11502",222,601,9
"11514",222,679,8
"11527",222,770,9
"11531",222,794,7
"11535",222,824,9
"11539",222,881,8
"11547",222,1028,8
"11551",222,1065,10
"11563",222,1180,7
"11568",222,1243,5
"11572",222,1378,9
"11580",222,1543,9
"11588",222,1704,9
"11602",222,1857,11
"11616",222,2006,6
"11621",222,2072,7
"11634",222,2242,6
"11642",222,2355,10
"11650",222,2498,7
"11654",222,2535,6
"11662",222,2856,11
"11666",222,2880,10
"11675",222,2984,10
"11688",222,3163,7
"11693",222,3358,7
"11697",222,3388,11
"11705",222,3554,9
"11709",222,3746,10
"11714",222,3857,10
"13734",270,311,4
"13738",270,330,4
"13742",270,347,4
"13751",270,393,6
"13777",270,542,5
"13786",270,601,9
"13798",270,679,6
"13811",270,770,5
"13815",270,794,7
"13819",270,824,7
"13823",270,881,10
"13831",270,1028,4
"13835",270,1065,8
"13847",270,1180,7
"13852",270,1243,9
"13856",270,1378,7
"13864",270,1543,7
"13872",270,1704,9
"13886",270,1857,9
"13900",270,2006,8
"13905",270,2072,7
"13918",270,2242,6
"13926",270,2355,8
"13934",270,2498,7
"13938",270,2535,8
"13946",270,2856,7
"13950",270,2880,8
