frame,centroidX,centroidY
459,2278.21646746348,1422.9933598937582
460,2069.611544990018,1105.3344282912499
461,1861.0066225165565,787.6754966887418
462,1861.0066225165565,787.6754966887418
463,1874.2705565466254,797.6756252109983
464,1887.534490576694,807.6757537332549
465,1900.7984246067629,817.6758822555113
466,1914.0623586368315,827.6760107777678
467,1927.3262926669004,837.6761393000244
468,1940.590226696969,847.6762678222809
469,1953.8541607270379,857.6763963445374
470,1967.1180947571065,867.6765248667939
471,1980.3820287871754,877.6766533890504
472,1993.6459628172443,887.676781911307
473,2006.909896847313,897.6769104335635
474,2020.1738308773818,907.67703895582
475,2033.4377649074504,917.6771674780765
476,2046.7016989375193,927.6772960003331
477,2059.965632967588,937.6774245225895
478,2073.2295669976565,947.677553044846
479,2086.4935010277254,957.6776815671026
480,2099.7574350577943,967.6778100893591
481,2113.021369087863,977.6779386116157
482,2126.285303117932,987.6780671338722
483,2139.5492371480004,997.6781956561288
484,2152.8131711780693,1007.6783241783852
485,2166.077105208138,1017.6784527006417
486,2179.341039238207,1027.6785812228982
487,2192.6049732682754,1037.6787097451547
488,2205.8689072983443,1047.6788382674113
489,2219.132841328413,1057.6789667896678
490,2219.132841328413,1057.6789667896678
