frame,centroidX,centroidY
447,1904.8895684105069,1083.663442413837
448,1802.60646085196,735.0592661170981
449,1700.3233532934134,386.45508982035926
450,1700.3233532934134,386.45508982035926
552,2110.6970954356852,1972.0207468879667
553,2111.1110662284077,1930.8232235042199
554,2111.5250370211297,1889.625700120473
555,2111.939007813852,1848.428176736726
556,2112.352978606574,1807.2306533529793
557,2112.7669493992967,1766.0331299692325
558,2113.180920192019,1724.8356065854857
559,2113.594890984741,1683.638083201739
560,2114.0088617774636,1642.440559817992
561,2114.4228325701856,1601.2430364342454
562,2114.836803362908,1560.0455130504984
563,2115.2507741556306,1518.8479896667516
564,2115.6647449483526,1477.6504662830048
565,2116.078715741075,1436.4529428992578
566,2116.492686533797,1395.2554195155112
567,2116.9066573265195,1354.0578961317642
568,2117.3206281192415,1312.8603727480174
569,2117.734598911964,1271.6628493642706
570,2118.1485697046865,1230.4653259805239
571,2118.5625404974085,1189.267802596777
572,2118.976511290131,1148.07027921303
573,2119.390482082853,1106.8727558292835
574,2119.8044528755754,1065.6752324455365
575,2120.218423668298,1024.4777090617895
576,2120.63239446102,983.2801856780428
577,2121.0463652537424,942.0826622942961
578,2121.4603360464644,900.8851389105491
579,2121.874306839187,859.6876155268023
580,2121.874306839187,859.6876155268022
659,1314.2079207920792,289.8019801980198
660,1359.8442802687969,350.8449135940815
661,1405.4806397455145,411.8878469901432
662,1451.1169992222322,472.9307803862049
663,1496.7533586989498,533.9737137822666
664,1542.3897181756674,595.0166471783284
665,1588.026077652385,656.0595805743901
666,1633.6624371291027,717.1025139704518
667,1679.2987966058204,778.1454473665135
668,1724.935156082538,839.1883807625752
669,1770.5715155592557,900.2313141586369
670,1816.2078750359733,961.2742475546986
671,1861.844234512691,1022.3171809507603
672,1907.4805939894086,1083.360114346822
673,1907.4805939894086,1083.360114346822
