frame,centroidX,centroidY
33,1156.033911,410.3124098
34,1153.773544,411.2674335
36,1158.615808,419.14158080000004
37,1158.157319,419.46306430000004
38,1156.633992,418.7009873
39,1156.032168,418.8013986
40,1156.095796,418.4817367
41,1158.425575,421.447226
42,1158.417178,421.44580779999995
44,1160.2659859999999,417.3993197
45,1160.908402,414.8657025
48,1153.292318,414.3113528
49,1152.134063,412.8426813
50,1154.743572,409.7834912
51,1152.713807,407.76943700000004
52,1152.3174179999999,404.73301949999995
54,1154.971213,399.0829335
55,1158.167118,398.89309879999996
57,1163.856574,398.78087650000003
58,1166.44751,398.00403769999997
59,1165.536926,398.1210912
60,1161.4188550000001,397.02760939999996
61,1160.3929779999999,396.2505064
66,1181.2319320000001,394.4204993
67,1181.293688,394.3136213
68,1182.235493,395.12618080000004
69,1180.564003,394.2930474
88,1170.0150429999999,388.1209941
89,1169.31889,388.57075150000003
92,1179.879868,394.04950499999995
93,1179.595759,393.8555335
106,1178.2961070000001,399.5207403
107,1172.6398390000002,397.96713619999997
110,1170.885655,396.7699238
111,1170.928669,397.5679012
115,1171.990437,396.9904372
116,1169.5808470000002,396.4122137
117,1168.616947,396.21148460000006
119,1167.7891849999999,398.7412731
120,1168.399035,398.3790489
121,1167.676371,398.7359513
122,1166.376178,401.2685061
123,1168.943409,407.04140789999997
124,1171.1799310000001,407.367474
127,1171.1490509999999,403.3963415
128,1169.508427,400.9852528
129,1168.768156,399.98184360000005
130,1168.6657300000002,399.633427
131,1169.360784,396.72222220000003
139,1179.929006,365.3914807
140,1179.055082,363.1009836
141,1181.7015529999999,358.94530719999995
151,1168.4756009999999,328.4213058
152,1167.439583,326.2375
153,1167.3391,325.54048439999997
191,1171.2434119999998,229.5034674
192,1175.300219,230.40102259999998
196,1177.981227,220.42743680000004
197,1177.4809380000002,222.53225809999998
198,1176.902527,223.7963899
199,1173.417082,222.9338078
201,1168.8060380000002,214.7675472
202,1162.97479,213.2556022
203,1160.851824,212.69528880000001
205,1151.8648449999998,213.49556869999998
206,1149.088775,212.43213500000002
207,1146.792975,211.84828100000001
208,1144.304315,210.8667676
209,1142.071843,210.46661830000002
229,1161.8525730000001,226.95271209999999
230,1163.436541,226.41422590000002
231,1163.535615,224.8610335
232,1163.926108,224.4975369
233,1160.283688,227.51128300000002
234,1154.27819,229.2734639
237,1171.951824,232.37508599999998
238,1171.494874,229.75119619999998
239,1173.659274,231.2170699
241,1177.973359,233.4509422
242,1178.810176,229.9158513
244,1185.8734259999999,224.1298873
245,1181.298983,221.9274576
