frame,centroidX,centroidY
23,864.8659091,1004.623864
24,864.3383028,1004.009174
28,864.2260100999999,1002.7323230000001
29,863.742823,1002.8313400000001
30,863.6188235,1002.408235
145,849.0850662,873.1701322999999
146,851.3022862,868.3581710000001
151,852.5801407,864.0656763000001
152,850.6244057,863.7290016000001
174,820.5117329,767.6263538
175,819.551306,763.5867537
183,809.1165957000001,734.3651064
184,808.6172007,734.8920742
191,810.3737374,748.4390053999999
192,808.4839204,747.7603369
193,805.9790535,745.7540729
581,1383.714894,939.0085106
582,1383.213368,938.9931447999999
