"","X1","X14","X4"
"17979",331,1620,10
"17983",331,1718,12
"17996",331,1857,4
"18010",331,2006,9
"18019",331,2125,4
"18036",331,2355,9
"18052",331,2701,9
"18056",331,2856,6
"18060",331,2880,7
"18079",331,3067,7
"18083",331,3261,11
"18096",331,3486,9
"18925",354,427,4
"18929",354,455,4
"18933",354,476,8
"18938",354,502,5
"18946",354,544,6
"18950",354,574,6
"18954",354,601,9
"18958",354,634,6
"18962",354,661,11
"18970",354,707,7
"18979",354,770,5
"18991",354,881,6
"18999",354,1028,6
"19015",354,1180,11
"19021",354,1268,6
"19025",354,1403,6
"19029",354,1486,7
"19033",354,1555,11
"19037",354,1620,9
"19041",354,1718,11
"19054",354,1857,7
"19068",354,2006,8
"19077",354,2125,9
"19094",354,2355,6
"19110",354,2701,12
"19114",354,2856,7
"19118",354,2880,6
"19137",354,3067,6
"19141",354,3261,12
"19154",354,3486,8
"22506",427,455,4
"22510",427,476,8
"22515",427,502,7
"22523",427,544,8
"22527",427,574,6
"22531",427,601,9
"22535",427,634,8
"22539",427,661,9
"22547",427,707,7
"22556",427,770,7
"22568",427,881,8
"22576",427,1028,8
"22592",427,1180,9
"22598",427,1268,8
"22602",427,1403,6
"22606",427,1486,7
"22610",427,1555,11
"22614",427,1620,13
"22618",427,1718,11
"22631",427,1857,9
"22645",427,2006,10
"22654",427,2125,9
"22671",427,2355,6
"22687",427,2701,8
"22691",427,2856,7
"22695",427,2880,10
"22714",427,3067,4
"22718",427,3261,8
"22731",427,3486,6
"23496",455,476,6
"23501",455,502,5
"23509",455,544,10
"23513",455,574,8
"23517",455,601,9
"23521",455,634,10
"23525",455,661,7
"23533",455,707,5
"23542",455,770,7
"23554",455,881,8
"23562",455,1028,6
"23578",455,1180,9
"23584",455,1268,6
"23588",455,1403,8
"23592",455,1486,5
"23596",455,1555,11
"23600",455,1620,9
"23604",455,1718,11
"23617",455,1857,7
"23631",455,2006,6
"23640",455,2125,7
"23657",455,2355,8
"23673",455,2701,8
"23677",455,2856,11
"23681",455,2880,8
"23700",455,3067,6
"23704",455,3261,10
"23717",455,3486,6
"24471",476,502,5
"24479",476,544,8
"24483",476,574,8
"24487",476,601,7
"24491",476,634,6
"24495",476,661,7
"24503",476,707,9
"24512",476,770,11
"24524",476,881,8
"24532",476,1028,8
"24548",476,1180,5
"24554",476,1268,6
"24558",476,1403,8
"24562",476,1486,7
"24566",476,1555,11
"24570",476,1620,9
"24574",476,1718,9
"24587",476,1857,9
"24601",476,2006,4
"24610",476,2125,7
"24627",476,2355,10
"24643",476,2701,8
"24647",476,2856,9
"24651",476,2880,6
"24670",476,3067,8
"24674",476,3261,8
"24687",476,3486,6
"25669",502,544,9
"25673",502,574,7
"25677",502,601,8
"25681",502,634,7
"25685",502,661,6
"25693",502,707,6
"25702",502,770,8
"25714",502,881,9
"25722",502,1028,9
"25738",502,1180,6
"25744",502,1268,5
"25748",502,1403,9
"25752",502,1486,6
"25756",502,1555,10
"25760",502,1620,8
"25764",502,1718,6
"25777",502,1857,10
"25791",502,2006,5
"25800",502,2125,10
"25817",502,2355,7
"25833",502,2701,13
"25837",502,2856,10
"25841",502,2880,9
"25860",502,3067,7
"25864",502,3261,11
"25877",502,3486,7
"27525",544,574,6
"27529",544,601,7
"27533",544,634,4
"27537",544,661,7
"27545",544,707,7
"27554",544,770,7
"27566",544,881,6
"27574",544,1028,6
"27590",544,1180,9
"27596",544,1268,8
"27600",544,1403,10
"27604",544,1486,13
"27608",544,1555,7
"27612",544,1620,9
"27616",544,1718,7
"27629",544,1857,7
"27643",544,2006,8
"27652",544,2125,9
"27669",544,2355,8
"27685",544,2701,8
"27689",544,2856,5
"27693",544,2880,4
"27712",544,3067,10
"27716",544,3261,10
"27729",544,3486,12
"28431",574,601,7
"28435",574,634,4
"28439",574,661,7
"28447",574,707,9
"28456",574,770,7
"28468",574,881,8
"28476",574,1028,6
"28492",574,1180,7
"28498",574,1268,6
"28502",574,1403,8
"28506",574,1486,9
"28510",574,1555,9
"28514",574,1620,7
"28518",574,1718,7
"28531",574,1857,11
"28545",574,2006,8
"28554",574,2125,9
"28571",574,2355,8
"28587",574,2701,8
"28591",574,2856,7
"28595",574,2880,10
"28614",574,3067,6
"28618",574,3261,8
"28631",574,3486,6
"29321",601,634,5
"29325",601,661,4
"29333",601,707,4
"29342",601,770,8
"29354",601,881,7
"29362",601,1028,9
"29378",601,1180,6
"29384",601,1268,9
"29388",601,1403,9
"29392",601,1486,10
"29396",601,1555,6
"29400",601,1620,6
"29404",601,1718,10
"29417",601,1857,6
"29431",601,2006,9
"29440",601,2125,6
"29457",601,2355,9
"29473",601,2701,9
"29477",601,2856,8
"29481",601,2880,7
"29500",601,3067,7
"29504",601,3261,11
"29517",601,3486,11
"30195",634,661,9
"30203",634,707,7
"30212",634,770,9
"30224",634,881,6
"30232",634,1028,10
"30248",634,1180,9
"30254",634,1268,8
"30258",634,1403,6
"30262",634,1486,11
"30266",634,1555,7
"30270",634,1620,9
"30274",634,1718,7
"30287",634,1857,9
"30301",634,2006,6
"30310",634,2125,9
"30327",634,2355,8
"30343",634,2701,10
"30347",634,2856,7
"30351",634,2880,6
"30370",634,3067,6
"30374",634,3261,10
"30387",634,3486,10
"31057",661,707,4
"31066",661,770,8
"31078",661,881,9
"31086",661,1028,7
"31102",661,1180,4
"31108",661,1268,7
"31112",661,1403,13
"31116",661,1486,10
"31120",661,1555,6
"31124",661,1620,6
"31128",661,1718,6
"31141",661,1857,8
"31155",661,2006,7
"31164",661,2125,8
"31181",661,2355,9
"31197",661,2701,7
"31201",661,2856,10
"31205",661,2880,9
"31224",661,3067,9
"31228",661,3261,9
"31241",661,3486,9
"32726",707,770,6
"32738",707,881,9
"32746",707,1028,9
"32762",707,1180,8
"32768",707,1268,9
"32772",707,1403,11
"32776",707,1486,8
"32780",707,1555,6
"32784",707,1620,8
"32788",707,1718,8
"32801",707,1857,6
"32815",707,2006,7
"32824",707,2125,8
"32841",707,2355,9
"32857",707,2701,9
"32861",707,2856,10
"32865",707,2880,7
"32884",707,3067,7
"32888",707,3261,13
"32901",707,3486,11
"34529",770,881,7
"34537",770,1028,7
"34553",770,1180,10
"34559",770,1268,11
"34563",770,1403,9
"34567",770,1486,6
"34571",770,1555,6
"34575",770,1620,6
"34579",770,1718,8
"34592",770,1857,6
"34606",770,2006,9
"34615",770,2125,10
"34632",770,2355,7
"34648",770,2701,9
"34652",770,2856,6
"34656",770,2880,7
"34675",770,3067,9
"34679",770,3261,13
"34692",770,3486,9
"36799",881,1028,10
"36815",881,1180,13
"36821",881,1268,8
"36825",881,1403,4
"36829",881,1486,11
"36833",881,1555,7
"36837",881,1620,7
"36841",881,1718,9
"36854",881,1857,5
"36868",881,2006,8
"36877",881,2125,9
"36894",881,2355,6
"36910",881,2701,8
"36914",881,2856,7
"36918",881,2880,6
"36937",881,3067,6
"36941",881,3261,8
"36954",881,3486,12
"38243",1028,1180,5
"38249",1028,1268,4
"38253",1028,1403,10
"38257",1028,1486,7
"38261",1028,1555,9
"38265",1028,1620,5
"38269",1028,1718,9
"38282",1028,1857,7
"38296",1028,2006,8
"38305",1028,2125,7
"38322",1028,2355,10
"38338",1028,2701,8
"38342",1028,2856,9
"38346",1028,2880,8
"38365",1028,3067,12
"38369",1028,3261,8
"38382",1028,3486,6
"40913",1180,1268,5
"40917",1180,1403,11
"40921",1180,1486,6
