31,1
33,2
44,3
52,4
74,5
75,6
82,7
93,8
104,9
118,10
120,11
121,12
135,13
137,14
151,15
152,16
162,17
173,18
180,19
181,20
186,21
196,22
203,23
209,24
211,25
220,26
222,27
226,28
237,29
270,30
291,31
300,32
311,33
312,34
325,35
341,36
346,37
347,38
354,39
361,40
365,41
377,42
393,43
402,44
413,45
420,46
421,47
427,48
437,49
442,50
455,51
456,52
467,53
497,54
502,55
514,56
525,57
534,58
574,59
579,60
596,61
598,62
609,63
613,64
626,65
634,66
645,67
661,68
664,69
666,70
678,71
679,72
681,73
696,74
697,75
707,76
720,77
724,78
752,79
754,80
765,81
781,82
794,83
809,84
813,85
824,86
844,87
862,88
881,89
911,90
985,91
1028,92
1030,93
1044,94
1062,95
1074,96
1077,97
1085,98
1104,99
1112,100
1127,101
1175,102
1180,103
1185,104
1203,105
1227,106
1268,107
1274,108
1368,109
1419,110
1437,111
1465,112
1486,113
1492,114
1498,115
1543,116
1555,117
1620,118
1694,119
1704,120
1730,121
1744,122
1759,123
1763,124
1797,125
1799,126
1828,127
1846,128
1875,129
1896,130
1923,131
1947,132
1966,133
1986,134
2006,135
2069,136
2107,137
2118,138
2141,139
2158,140
2192,141
2196,142
2211,143
2230,144
2242,145
2295,146
2327,147
2332,148
2340,149
2381,150
2389,151
2413,152
2418,153
2452,154
2488,155
2498,156
2512,157
2523,158
2535,159
2585,160
2607,161
2682,162
2701,163
2827,164
2835,165
2857,166
2877,167
2880,168
2897,169
2908,170
2915,171
2919,172
2954,173
2984,174
3029,175
3085,176
3134,177
3261,178
3341,179
3375,180
3380,181
3388,182
3415,183
3435,184
3443,185
3486,186
3488,187
3524,188
3570,189
3626,190
3746,191
3757,192
3941,193
3994,194
