1,14,4
1,16,4
1,18,5
1,29,5
1,31,6
1,33,3
1,35,4
1,44,6
1,46,7
1,52,4
1,59,4
1,68,5
1,69,4
1,74,6
1,75,5
1,82,4
1,93,4
1,103,4
1,104,4
1,118,8
1,120,7
1,121,6
1,135,5
1,137,4
1,151,4
1,152,4
1,162,4
1,173,4
1,180,7
1,181,6
1,186,8
1,196,4
1,203,4
1,209,5
1,211,6
1,220,8
1,222,9
1,226,7
1,237,7
1,239,8
1,241,4
1,254,8
1,257,3
1,259,4
1,270,7
1,272,7
1,274,6
1,285,6
1,287,9
1,289,4
1,291,7
1,300,9
1,302,8
1,304,6
1,311,7
1,312,7
1,324,6
1,325,7
1,330,9
1,331,6
1,341,6
1,346,8
1,347,7
1,354,7
1,361,6
1,365,7
1,374,11
1,376,8
1,377,9
1,391,6
1,392,6
1,393,7
1,402,7
1,409,6
1,413,7
1,420,7
1,421,6
1,427,7
1,436,8
1,437,9
1,442,11
1,455,7
1,456,7
1,463,8
1,467,9
1,476,11
1,478,10
1,493,8
1,495,11
1,497,7
1,502,10
1,510,11
1,512,4
1,514,5
1,525,5
1,529,4
1,534,9
1,542,8
1,544,7
1,551,6
1,559,9
1,563,6
1,574,9
1,579,7
1,596,7
1,598,8
1,601,6
1,609,5
1,613,6
1,626,8
1,634,11
1,637,8
1,645,7
1,651,6
1,661,6
1,664,7
1,666,8
1,678,8
1,679,7
1,681,6
1,696,8
1,697,9
1,707,6
1,720,9
1,724,8
1,735,11
1,750,10
1,752,8
1,754,9
1,765,9
1,767,10
1,770,4
1,781,4
1,789,6
1,792,7
1,794,8
1,802,7
1,809,6
1,813,7
1,824,6
1,844,8
1,862,8
1,875,6
1,881,7
1,910,9
1,911,8
1,923,6
1,935,6
1,951,9
1,985,8
1,1021,8
1,1028,5
1,1030,6
1,1044,6
1,1062,9
1,1065,7
1,1074,7
1,1077,6
1,1085,7
1,1090,6
1,1104,6
1,1112,7
1,1119,8
1,1127,7
1,1137,6
1,1150,10
1,1175,7
1,1180,8
1,1185,5
1,1203,9
1,1207,8
1,1227,7
1,1243,8
1,1268,9
1,1274,10
1,1368,6
1,1378,6
1,1403,9
1,1419,7
1,1437,6
1,1465,8
1,1486,8
1,1492,9
1,1498,10
1,1543,4
1,1555,6
1,1568,6
1,1585,4
1,1606,8
1,1620,6
1,1653,8
1,1694,8
1,1704,6
1,1718,10
1,1730,6
1,1744,8
1,1759,10
1,1763,8
1,1772,10
1,1787,8
1,1797,6
1,1799,7
1,1819,8
1,1828,8
1,1841,7
1,1846,10
1,1857,6
1,1870,10
1,1875,8
1,1896,9
1,1903,10
1,1911,10
1,1923,9
1,1947,9
1,1951,10
1,1955,8
1,1966,11
1,1982,12
1,1986,9
1,1993,8
1,2006,13
1,2013,10
1,2024,10
1,2056,5
1,2069,7
1,2072,6
1,2091,6
1,2107,7
1,2118,9
1,2125,6
