frame,ID,centroidX,centroidY,dir,1cm
0,3037,366.1044776119403,993.7985074626865,178.03822643310212,42.77712388392539
3,1911,1233.148148148148,884.0277777777778,343.45814322692365,32.28970921332824
12,4081,739.4981949458484,387.94945848375454,276.09853641954993,77.74844670224856
14,3815,1428.5695652173913,240.62608695652173,229.01615094739813,59.29317451661594
19,2495,971.10018604014,541.4940111425228,358.92845004029266,3600.5897407559746
25,4080,1236.15625,881.9125,180.2518268119576,84.24774123524979
26,4087,504.97058823529414,287.2352941176471,100.36745401324839,23.520628439460204
27,1023,810.8243386243387,513.1597883597883,321.26734284848465,58.24072041081132
29,3822,653.9747081712062,398.6643968871595,121.01496290571285,120.21188729878939
36,3607,560.521186440678,593.6864406779661,211.96723172717208,69.54790546543654
38,447,773.929203539823,491.91150442477874,11.308961129271909,62.81969011241003
40,1934,708.1553672316384,391.3785310734463,252.65384155785281,68.40922708819583
42,3548,958.5110294117648,435.84558823529414,310.5494184710853,45.034333728213646
43,4095,958.4966216216217,436.3243243243243,16.744409863703613,99.73146072971656
46,3953,708.4509202453987,390.74233128834356,73.52963504388671,67.7242746811438
50,2935,464.9107142857143,1021.2857142857143,277.4533736286179,26.648221165246856
51,3755,1236.1279069767443,882.5755813953489,25.866984554882368,38.44981558858768
56,3822,539.491935483871,673.008064516129,302.06832953161336,32.91843349382603
60,4081,1237.2565789473683,882.0592105263158,102.62185013902317,45.22022530528894
73,3822,598.0569105691056,432.3252032520325,33.58808578065547,37.802960273016716
74,3895,365.3880597014925,993.4253731343283,135.07313899373497,43.05407461474523
74,1911,398.8938053097345,534.0265486725664,142.88921762476568,31.29647452716677
78,3551,959.2074829931972,436.5816326530612,333.6479201620178,19.53230264584934
82,2957,736.1038961038961,387.012987012987,8.456185706036326,33.5904159948905
84,588,812.6912751677852,494.7013422818792,69.85553035541582,81.70997371421545
87,699,591.2538461538461,555.2461538461539,348.90266125388774,24.023612018462238
88,3003,504.1849710982659,442.8670520231214,176.31003700166465,90.57962014822246
88,3515,598.4330708661417,432.8976377952756,217.5292393490831,37.40105526400497
88,1911,909.4608695652174,490.3391304347826,234.52670528476978,43.86082923315188
91,3043,970.295586397617,540.8422860134906,269.9907464281055,6458.637326884202
91,3840,958.7605633802817,436.5845070422535,18.869032849716778,109.2964963719305
94,3043,970.099085219013,540.9443111455321,269.9965873338182,6457.327246247631
95,3043,970.2296896838772,541.0238211849276,270.0012313204768,6458.197932717193
96,3043,970.3406604539203,541.0220149471498,270.0011834707044,6458.937737737316
97,3043,970.1422638561904,540.9401763515149,269.9963429103607,6457.615105528914
98,3327,959.7484076433121,436.4363057324841,16.221220533200032,105.97907326595455
99,3043,970.8681514407797,540.895431461438,269.9937009433262,6462.454381993228
100,3035,1522.5240384615386,428.24038461538464,56.819573443176154,44.540750624653455
101,2027,1183.073076923077,149.41538461538462,252.45799066580554,82.47326166058592
102,3043,970.9435172839172,540.7928013489134,269.98775420348306,6462.956929507641
103,3043,970.8762339046036,540.6179006217959,269.9774695715644,6462.508725679409
105,1518,706.0660146699266,391.5916870415648,330.21401432565,48.928555004414925
108,4095,539.2831858407079,671.7610619469026,244.0493732884674,63.191877327910895
109,3822,916.0514469453376,513.0771704180064,353.2329231753505,83.65237648910302
113,2014,501.64285714285717,306.1875,47.17483209178834,28.115007467169544
119,2384,470.0350194552529,1018.6692607003891,65.767172292394,65.66374887885203
119,4087,501.2692307692308,307.34615384615387,101.57275930747387,51.03559032910556
120,4087,1523.09900990099,427.76237623762376,182.16940665388805,62.254151662528265
129,3967,734.2676056338029,387.73708920187795,257.3634012363635,57.73312030794645
144,3821,539.2566371681415,672.6902654867257,327.7849110146173,27.357712891862143
144,1911,922.3333333333334,398.96190476190475,211.6666694573255,40.53170035927418
146,3805,502.44642857142856,308.1875,19.25315245287415,23.646579151604655
164,2023,971.4965981556551,541.165424846006,89.99004551452171,6326.689441114788
172,3582,810.2937062937064,530.5034965034965,117.00651012482244,42.54461931605757
178,1881,503.5100502512563,446.7185929648241,326.6438072766324,55.1468241190817
179,3072,788.463976945245,520.5187319884726,179.9468611203015,88.44496927279043
187,3855,1236.1272727272728,882.0121212121212,184.21556874704078,81.50089545885243
190,1653,1236.310975609756,881.7621951219512,237.67994399414266,37.62223990113247
198,2238,701.3578947368421,394.6842105263158,220.22487343029493,80.60806975240031
202,4095,785.0285343709468,395.21141374837873,199.34345093104423,119.56933378141474
203,4094,933.5369458128079,525.1822660098522,100.66809113744603,55.86830126424921
