"","X1","X14","X4"
"36245",844,985,4
"36250",844,1062,9
"36256",844,1104,8
"36263",844,1180,8
"36269",844,1268,11
"36275",844,1437,8
"36279",844,1498,6
"36316",844,2006,7
"36332",844,2211,12
"36349",844,2488,9
"36354",844,2535,9
"36358",844,2701,7
"36365",844,2877,9
"36369",844,2915,8
"36392",844,3341,9
"36403",844,3488,10
"37879",985,1062,13
"37885",985,1104,8
"37892",985,1180,8
"37898",985,1268,11
"37904",985,1437,6
"37908",985,1498,4
"37945",985,2006,7
"37961",985,2211,10
"37978",985,2488,7
"37983",985,2535,9
"37987",985,2701,7
"37994",985,2877,9
"37998",985,2915,8
"38021",985,3341,11
"38032",985,3488,10
"38755",1062,1104,7
"38762",1062,1180,7
"38768",1062,1268,6
"38774",1062,1437,11
"38778",1062,1498,9
"38815",1062,2006,6
"38831",1062,2211,7
"38848",1062,2488,10
"38853",1062,2535,8
"38857",1062,2701,10
"38864",1062,2877,10
"38868",1062,2915,9
"38891",1062,3341,8
"38902",1062,3488,7
"39773",1104,1180,4
"39779",1104,1268,5
"39785",1104,1437,8
"39789",1104,1498,6
"39826",1104,2006,7
"39842",1104,2211,8
"39859",1104,2488,11
"39864",1104,2535,13
"39868",1104,2701,13
"39875",1104,2877,11
"39879",1104,2915,8
"39902",1104,3341,9
"39913",1104,3488,6
"40913",1180,1268,5
"40919",1180,1437,4
"40923",1180,1498,6
"40960",1180,2006,7
"40976",1180,2211,8
"40993",1180,2488,9
"40998",1180,2535,13
"41002",1180,2701,9
"41009",1180,2877,9
"41013",1180,2915,12
"41036",1180,3341,7
"41047",1180,3488,6
"41852",1268,1437,7
"41856",1268,1498,9
"41893",1268,2006,6
"41909",1268,2211,9
"41926",1268,2488,8
"41931",1268,2535,8
"41935",1268,2701,10
"41942",1268,2877,8
"41946",1268,2915,11
"41969",1268,3341,8
"41980",1268,3488,7
"42753",1437,1498,6
"42790",1437,2006,9
"42806",1437,2211,10
"42823",1437,2488,7
"42828",1437,2535,9
"42832",1437,2701,7
"42839",1437,2877,7
"42843",1437,2915,12
"42866",1437,3341,5
"42877",1437,3488,8
"43368",1498,2006,5
"43384",1498,2211,10
"43401",1498,2488,7
"43406",1498,2535,9
"43410",1498,2701,11
"43417",1498,2877,13
"43421",1498,2915,10
"43444",1498,3341,11
"43455",1498,3488,8
"47972",2006,2211,11
"47989",2006,2488,10
"47994",2006,2535,8
"47998",2006,2701,10
"48005",2006,2877,10
"48009",2006,2915,9
"48032",2006,3341,10
"48043",2006,3488,9
"49549",2211,2488,9
"49554",2211,2535,7
"49558",2211,2701,9
"49565",2211,2877,9
"49569",2211,2915,4
"49592",2211,3341,9
"49603",2211,3488,4
"50931",2488,2535,6
"50935",2488,2701,6
"50942",2488,2877,6
"50946",2488,2915,11
"50969",2488,3341,8
"50980",2488,3488,7
"51285",2535,2701,6
"51292",2535,2877,8
"51296",2535,2915,7
"51319",2535,3341,8
"51330",2535,3488,9
"51554",2701,2877,6
"51558",2701,2915,11
"51581",2701,3341,6
"51592",2701,3488,11
"51978",2877,2915,7
"52001",2877,3341,4
"52012",2877,3488,9
"52219",2915,3341,9
"52230",2915,3488,6
"53173",3341,3488,7
