46,1
52,2
59,3
68,4
69,5
74,6
75,7
103,8
104,9
135,10
137,11
173,12
180,13
211,14
226,15
237,16
274,17
304,18
311,19
312,20
324,21
325,22
330,23
331,24
354,25
365,26
377,27
392,28
393,29
413,30
420,31
437,32
455,33
476,34
502,35
510,36
544,37
559,38
596,39
601,40
609,41
613,42
634,43
637,44
651,45
681,46
696,47
697,48
707,49
720,50
765,51
770,52
792,53
802,54
813,55
844,56
862,57
875,58
910,59
1028,60
1062,61
1074,62
1104,63
1112,64
1180,65
1227,66
1368,67
1465,68
1492,69
1498,70
1543,71
1585,72
1704,73
1744,74
1759,75
1799,76
1846,77
1896,78
1903,79
1947,80
1986,81
2006,82
2056,83
2072,84
2118,85
2158,86
2242,87
2327,88
2340,89
2355,90
2413,91
2452,92
2523,93
2856,94
2880,95
2908,96
2915,97
2945,98
2954,99
2992,100
3067,101
3134,102
3163,103
3261,104
3358,105
3360,106
3375,107
3388,108
3415,109
3488,110
3757,111
3783,112
3832,113
3926,114
4015,115
